Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
JKAX12.1e_post,2022-10-30 23:25:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX12.1e_PorgesteroneKO_post_pup_bottom_right 29_01_2022 19_37_49 4.mp4,960.450,29.94,No focal subject,pup groom,,,STATE,36.735,46.486,9.751,,
JKAX12.3d_post,2022-10-29 18:32:31,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX12.3d_PorgesteroneKO_post_pup_top_left 02_03_2022 16_42_09 1.mp4,1004.440,29.96,No focal subject,pup sniff,,,STATE,37.651,44.901,7.250,,
JKAX6.2f_post,2022-10-29 19:29:40,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2f_KOprogesterone_post_pup_top_right 20_12_2021 18_11_53 2.mp4,960.425,29.99,No focal subject,pup intro,,,POINT,38.214,38.214,NA,,
JKAX6.2f_post,2022-10-29 19:29:40,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2f_KOprogesterone_post_pup_top_right 20_12_2021 18_11_53 2.mp4,960.425,29.99,No focal subject,pup sniff,,,STATE,43.901,49.778,5.877,,
JKAX6.2e_post,2022-10-29 18:39:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2e_KOprogesterone_post_pup_top_left 20_12_2021 18_11_53 1.mp4,960.130,29.99,No focal subject,pup sniff,,,STATE,43.966,45.223,1.257,,
JKAX12.3d_post,2022-10-29 18:32:31,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX12.3d_PorgesteroneKO_post_pup_top_left 02_03_2022 16_42_09 1.mp4,1004.440,29.96,No focal subject,pup groom,,,STATE,44.901,48.651,3.750,,
JKAX12.1e_post,2022-10-30 23:25:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX12.1e_PorgesteroneKO_post_pup_bottom_right 29_01_2022 19_37_49 4.mp4,960.450,29.94,No focal subject,pup groom,,,STATE,47.104,58.736,11.632,,
JKAX4.3d_post,2022-10-29 15:59:16,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX4.3d_PorgesteroneKO_post_pup_top_right 29_01_2022 20_07_08 2.mp4,968.900,29.99,No focal subject,pup groom,,,STATE,48.214,56.728,8.514,,
JKAX6.2h_post,2022-10-30 23:23:22,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2h_KOprogesterone_post_pup_bottom_right 20_12_2021 18_11_53 4.mp4,960.445,29.99,No focal subject,pup intro,,,POINT,48.901,48.901,NA,,
JKAX6.2f_post,2022-10-29 19:29:40,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2f_KOprogesterone_post_pup_top_right 20_12_2021 18_11_53 2.mp4,960.425,29.99,No focal subject,pup groom,,,STATE,49.778,51.471,1.693,,
JKAX6.2g_post,2022-10-30 23:27:19,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2g_KOprogesterone_post_pup_bottom_left 20_12_2021 18_11_53 3.mp4,960.560,29.97,No focal subject,pup sniff,,,STATE,50.151,51.901,1.750,,
JKAX6.2g_post,2022-10-30 23:27:19,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2g_KOprogesterone_post_pup_bottom_left 20_12_2021 18_11_53 3.mp4,960.560,29.97,No focal subject,pup groom,,,STATE,51.901,54.651,2.750,,
JKAX6.2f_post,2022-10-29 19:29:40,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2f_KOprogesterone_post_pup_top_right 20_12_2021 18_11_53 2.mp4,960.425,29.99,No focal subject,pup sniff,,,STATE,52.470,53.470,1.000,,
JKAX12.1d_post,2022-10-29 18:29:05,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX12.1d_PorgesteroneKO_post_pup_bottom_right 29_01_2022 20_07_08 4.mp4,969.770,29.95,No focal subject,pup sniff,,,STATE,53.904,68.404,14.500,,
JKAX6.2f_post,2022-10-29 19:29:40,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2f_KOprogesterone_post_pup_top_right 20_12_2021 18_11_53 2.mp4,960.425,29.99,No focal subject,pup sniff,,,STATE,54.604,66.220,11.616,,
JKAX6.2e_post,2022-10-29 18:39:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2e_KOprogesterone_post_pup_top_left 20_12_2021 18_11_53 1.mp4,960.130,29.99,No focal subject,pup groom,,,STATE,54.972,62.222,7.250,,
JKAX6.2g_post,2022-10-30 23:27:19,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2g_KOprogesterone_post_pup_bottom_left 20_12_2021 18_11_53 3.mp4,960.560,29.97,No focal subject,pup groom,,,STATE,59.660,65.150,5.490,,
JKAX6.2h_post,2022-10-30 23:23:22,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2h_KOprogesterone_post_pup_bottom_right 20_12_2021 18_11_53 4.mp4,960.445,29.99,No focal subject,pup sniff,,,STATE,60.650,67.450,6.800,,
JKAX7.3b_post,2022-10-30 23:28:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX7.3b_PorgesteroneKO_post_pup_top_right 29_01_2022 20_35_26 2.mp4,960.223,29.99,No focal subject,pup sniff,,,STATE,60.718,72.718,12.000,,
JKAX4.3e_post,2022-10-30 23:26:12,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX4.3e_PorgesteroneKO_post_pup_top_left 29_01_2022 19_37_49 1.mp4,960.780,29.95,No focal subject,pup groom,,,STATE,61.207,67.207,6.000,,
JKAX6.2e_post,2022-10-29 18:39:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2e_KOprogesterone_post_pup_top_left 20_12_2021 18_11_53 1.mp4,960.130,29.99,No focal subject,pup groom,,,STATE,66.721,85.222,18.501,,
JKAX6.2f_post,2022-10-29 19:29:40,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2f_KOprogesterone_post_pup_top_right 20_12_2021 18_11_53 2.mp4,960.425,29.99,No focal subject,pup sniff,,,STATE,66.971,77.970,10.999,,
JKAX6.2h_post,2022-10-30 23:23:22,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2h_KOprogesterone_post_pup_bottom_right 20_12_2021 18_11_53 4.mp4,960.445,29.99,No focal subject,pup groom,,,STATE,67.450,75.402,7.952,,
JKAX4.3d_post,2022-10-29 15:59:16,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX4.3d_PorgesteroneKO_post_pup_top_right 29_01_2022 20_07_08 2.mp4,968.900,29.99,No focal subject,pup groom,,,STATE,69.221,86.721,17.500,,
JKAX12.1d_post,2022-10-29 18:29:05,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX12.1d_PorgesteroneKO_post_pup_bottom_right 29_01_2022 20_07_08 4.mp4,969.770,29.95,No focal subject,pup sniff,,,STATE,70.156,72.151,1.995,,
JKAX12.1e_post,2022-10-30 23:25:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX12.1e_PorgesteroneKO_post_pup_bottom_right 29_01_2022 19_37_49 4.mp4,960.450,29.94,No focal subject,pup sniff,,,STATE,70.991,71.986,0.995,,
