Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
JKAX6.2h_post,2022-10-30 23:23:22,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2h_KOprogesterone_post_pup_bottom_right 20_12_2021 18_11_53 4.mp4,960.445,29.99,No focal subject,pup groom,,,STATE,123.652,124.402,0.750,,
JKAX7.3b_post,2022-10-30 23:28:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX7.3b_PorgesteroneKO_post_pup_top_right 29_01_2022 20_35_26 2.mp4,960.223,29.99,No focal subject,pup groom,,,STATE,124.477,129.478,5.001,,
JKAX4.3d_post,2022-10-29 15:59:16,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX4.3d_PorgesteroneKO_post_pup_top_right 29_01_2022 20_07_08 2.mp4,968.900,29.99,No focal subject,pup sniff,,,STATE,124.735,127.496,2.761,,
JKAX6.2h_post,2022-10-30 23:23:22,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2h_KOprogesterone_post_pup_bottom_right 20_12_2021 18_11_53 4.mp4,960.445,29.99,No focal subject,pup sniff,,,STATE,129.152,132.151,2.999,,
JKAX12.1e_post,2022-10-30 23:25:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX12.1e_PorgesteroneKO_post_pup_bottom_right 29_01_2022 19_37_49 4.mp4,960.450,29.94,No focal subject,pup groom,,,STATE,129.753,161.273,31.520,,
JKAX6.2g_post,2022-10-30 23:27:19,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2g_KOprogesterone_post_pup_bottom_left 20_12_2021 18_11_53 3.mp4,960.560,29.97,No focal subject,pup groom,,,STATE,130.401,136.901,6.500,,
JKAX7.3b_post,2022-10-30 23:28:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX7.3b_PorgesteroneKO_post_pup_top_right 29_01_2022 20_35_26 2.mp4,960.223,29.99,No focal subject,pup groom,,,STATE,130.976,131.227,0.251,,
JKAX6.2h_post,2022-10-30 23:23:22,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2h_KOprogesterone_post_pup_bottom_right 20_12_2021 18_11_53 4.mp4,960.445,29.99,No focal subject,pup groom,,,STATE,132.151,172.652,40.501,,
JKAX4.3d_post,2022-10-29 15:59:16,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX4.3d_PorgesteroneKO_post_pup_top_right 29_01_2022 20_07_08 2.mp4,968.900,29.99,No focal subject,pup groom,,,STATE,133.496,154.996,21.500,,
JKAX6.2e_post,2022-10-29 18:39:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2e_KOprogesterone_post_pup_top_left 20_12_2021 18_11_53 1.mp4,960.130,29.99,No focal subject,pup groom,,,STATE,137.504,147.753,10.249,,
JKAX6.2g_post,2022-10-30 23:27:19,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2g_KOprogesterone_post_pup_bottom_left 20_12_2021 18_11_53 3.mp4,960.560,29.97,No focal subject,nest building,,,STATE,139.420,142.249,2.829,,
JKAX6.2g_post,2022-10-30 23:27:19,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2g_KOprogesterone_post_pup_bottom_left 20_12_2021 18_11_53 3.mp4,960.560,29.97,No focal subject,pup groom,,,STATE,142.751,214.748,71.997,,
JKAX6.2f_post,2022-10-29 19:29:40,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2f_KOprogesterone_post_pup_top_right 20_12_2021 18_11_53 2.mp4,960.425,29.99,No focal subject,pup sniff,,,STATE,146.750,151.750,5.000,,
JKAX6.2f_post,2022-10-29 19:29:40,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2f_KOprogesterone_post_pup_top_right 20_12_2021 18_11_53 2.mp4,960.425,29.99,No focal subject,pup groom,,,STATE,151.750,161.250,9.500,,
JKAX6.2e_post,2022-10-29 18:39:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2e_KOprogesterone_post_pup_top_left 20_12_2021 18_11_53 1.mp4,960.130,29.99,No focal subject,pup groom,,,STATE,156.753,174.004,17.251,,
JKAX12.1e_post,2022-10-30 23:25:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX12.1e_PorgesteroneKO_post_pup_bottom_right 29_01_2022 19_37_49 4.mp4,960.450,29.94,No focal subject,pup groom,,,STATE,169.753,177.003,7.250,,
JKAX4.3e_post,2022-10-30 23:26:12,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX4.3e_PorgesteroneKO_post_pup_top_left 29_01_2022 19_37_49 1.mp4,960.780,29.95,No focal subject,pup groom,,,STATE,172.152,290.152,118.000,,
JKAX6.2f_post,2022-10-29 19:29:40,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2f_KOprogesterone_post_pup_top_right 20_12_2021 18_11_53 2.mp4,960.425,29.99,No focal subject,pup sniff,,,STATE,173.764,178.763,4.999,,
JKAX6.2h_post,2022-10-30 23:23:22,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2h_KOprogesterone_post_pup_bottom_right 20_12_2021 18_11_53 4.mp4,960.445,29.99,No focal subject,pup groom,,,STATE,174.444,273.401,98.957,,
JKAX6.2e_post,2022-10-29 18:39:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2e_KOprogesterone_post_pup_top_left 20_12_2021 18_11_53 1.mp4,960.130,29.99,No focal subject,pup groom,,,STATE,177.522,184.004,6.482,,
JKAX12.1e_post,2022-10-30 23:25:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX12.1e_PorgesteroneKO_post_pup_bottom_right 29_01_2022 19_37_49 4.mp4,960.450,29.94,No focal subject,pup groom,,,STATE,179.502,207.921,28.419,,
JKAX7.3b_post,2022-10-30 23:28:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX7.3b_PorgesteroneKO_post_pup_top_right 29_01_2022 20_35_26 2.mp4,960.223,29.99,No focal subject,pup sniff,,,STATE,186.226,189.728,3.502,,
JKAX6.2f_post,2022-10-29 19:29:40,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2f_KOprogesterone_post_pup_top_right 20_12_2021 18_11_53 2.mp4,960.425,29.99,No focal subject,pup sniff,,,STATE,188.264,188.773,0.509,,
JKAX7.3b_post,2022-10-30 23:28:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX7.3b_PorgesteroneKO_post_pup_top_right 29_01_2022 20_35_26 2.mp4,960.223,29.99,No focal subject,pup sniff,,,STATE,190.728,199.477,8.749,,
JKAX6.2e_post,2022-10-29 18:39:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2e_KOprogesterone_post_pup_top_left 20_12_2021 18_11_53 1.mp4,960.130,29.99,No focal subject,pup groom,,,STATE,191.774,216.030,24.256,,
JKAX6.2f_post,2022-10-29 19:29:40,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2f_KOprogesterone_post_pup_top_right 20_12_2021 18_11_53 2.mp4,960.425,29.99,No focal subject,pup groom,,,STATE,196.271,272.028,75.757,,
JKAX7.3b_post,2022-10-30 23:28:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX7.3b_PorgesteroneKO_post_pup_top_right 29_01_2022 20_35_26 2.mp4,960.223,29.99,No focal subject,pup groom,,,STATE,199.477,234.727,35.250,,
JKAX4.3d_post,2022-10-29 15:59:16,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX4.3d_PorgesteroneKO_post_pup_top_right 29_01_2022 20_07_08 2.mp4,968.900,29.99,No focal subject,pup groom,,,STATE,204.534,216.027,11.493,,
JKAX12.1e_post,2022-10-30 23:25:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX12.1e_PorgesteroneKO_post_pup_bottom_right 29_01_2022 19_37_49 4.mp4,960.450,29.94,No focal subject,pup groom,,,STATE,209.253,250.003,40.750,,
JKAX4.3d_post,2022-10-29 15:59:16,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX4.3d_PorgesteroneKO_post_pup_top_right 29_01_2022 20_07_08 2.mp4,968.900,29.99,No focal subject,pup groom,,,STATE,218.275,258.540,40.265,,
JKAX6.2e_post,2022-10-29 18:39:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2e_KOprogesterone_post_pup_top_left 20_12_2021 18_11_53 1.mp4,960.130,29.99,No focal subject,pup sniff,,,STATE,219.025,223.024,3.999,,
JKAX6.2g_post,2022-10-30 23:27:19,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2g_KOprogesterone_post_pup_bottom_left 20_12_2021 18_11_53 3.mp4,960.560,29.97,No focal subject,nest building,,,STATE,220.499,234.499,14.000,,
JKAX6.2e_post,2022-10-29 18:39:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2e_KOprogesterone_post_pup_top_left 20_12_2021 18_11_53 1.mp4,960.130,29.99,No focal subject,pup groom,,,STATE,223.024,241.524,18.500,,
JKAX7.3b_post,2022-10-30 23:28:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX7.3b_PorgesteroneKO_post_pup_top_right 29_01_2022 20_35_26 2.mp4,960.223,29.99,No focal subject,pup groom,,,STATE,244.034,258.227,14.193,,
JKAX12.1e_post,2022-10-30 23:25:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX12.1e_PorgesteroneKO_post_pup_bottom_right 29_01_2022 19_37_49 4.mp4,960.450,29.94,No focal subject,pup groom,,,STATE,251.253,263.744,12.491,,
JKAX6.2e_post,2022-10-29 18:39:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2e_KOprogesterone_post_pup_top_left 20_12_2021 18_11_53 1.mp4,960.130,29.99,No focal subject,pup groom,,,STATE,252.524,269.273,16.749,,
JKAX6.2g_post,2022-10-30 23:27:19,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2g_KOprogesterone_post_pup_bottom_left 20_12_2021 18_11_53 3.mp4,960.560,29.97,No focal subject,pup sniff,,,STATE,256.499,258.043,1.544,,
JKAX6.2g_post,2022-10-30 23:27:19,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2g_KOprogesterone_post_pup_bottom_left 20_12_2021 18_11_53 3.mp4,960.560,29.97,No focal subject,pup groom,,,STATE,258.542,300.048,41.506,,
JKAX4.3d_post,2022-10-29 15:59:16,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX4.3d_PorgesteroneKO_post_pup_top_right 29_01_2022 20_07_08 2.mp4,968.900,29.99,No focal subject,pup groom,,,STATE,259.540,272.040,12.500,,
JKAX7.3b_post,2022-10-30 23:28:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX7.3b_PorgesteroneKO_post_pup_top_right 29_01_2022 20_35_26 2.mp4,960.223,29.99,No focal subject,pup groom,,,STATE,263.477,271.979,8.502,,
JKAX12.1e_post,2022-10-30 23:25:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX12.1e_PorgesteroneKO_post_pup_bottom_right 29_01_2022 19_37_49 4.mp4,960.450,29.94,No focal subject,pup groom,,,STATE,267.473,288.223,20.750,,
JKAX6.2e_post,2022-10-29 18:39:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2e_KOprogesterone_post_pup_top_left 20_12_2021 18_11_53 1.mp4,960.130,29.99,No focal subject,pup groom,,,STATE,272.025,280.524,8.499,,
JKAX6.2f_post,2022-10-29 19:29:40,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2f_KOprogesterone_post_pup_top_right 20_12_2021 18_11_53 2.mp4,960.425,29.99,No focal subject,pup sniff,,,STATE,274.526,275.276,0.750,,
JKAX4.3d_post,2022-10-29 15:59:16,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX4.3d_PorgesteroneKO_post_pup_top_right 29_01_2022 20_07_08 2.mp4,968.900,29.99,No focal subject,pup groom,,,STATE,274.787,293.538,18.751,,
JKAX6.2f_post,2022-10-29 19:29:40,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2f_KOprogesterone_post_pup_top_right 20_12_2021 18_11_53 2.mp4,960.425,29.99,No focal subject,pup groom,,,STATE,275.276,288.027,12.751,,
JKAX6.2h_post,2022-10-30 23:23:22,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2h_KOprogesterone_post_pup_bottom_right 20_12_2021 18_11_53 4.mp4,960.445,29.99,No focal subject,pup sniff,,,STATE,276.407,278.403,1.996,,
JKAX6.2h_post,2022-10-30 23:23:22,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2h_KOprogesterone_post_pup_bottom_right 20_12_2021 18_11_53 4.mp4,960.445,29.99,No focal subject,pup groom,,,STATE,278.403,280.048,1.645,,
JKAX7.3b_post,2022-10-30 23:28:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX7.3b_PorgesteroneKO_post_pup_top_right 29_01_2022 20_35_26 2.mp4,960.223,29.99,No focal subject,pup groom,,,STATE,281.226,286.110,4.884,,
JKAX7.3b_post,2022-10-30 23:28:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX7.3b_PorgesteroneKO_post_pup_top_right 29_01_2022 20_35_26 2.mp4,960.223,29.99,No focal subject,pup groom,,,STATE,288.728,290.227,1.499,,
JKAX12.1e_post,2022-10-30 23:25:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX12.1e_PorgesteroneKO_post_pup_bottom_right 29_01_2022 19_37_49 4.mp4,960.450,29.94,No focal subject,pup groom,,,STATE,289.973,305.992,16.019,,
JKAX6.2f_post,2022-10-29 19:29:40,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2f_KOprogesterone_post_pup_top_right 20_12_2021 18_11_53 2.mp4,960.425,29.99,No focal subject,pup groom,,,STATE,292.776,304.169,11.393,,
JKAX4.3e_post,2022-10-30 23:26:12,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX4.3e_PorgesteroneKO_post_pup_top_left 29_01_2022 19_37_49 1.mp4,960.780,29.95,No focal subject,pup groom,,,STATE,293.655,318.957,25.302,,
JKAX6.2e_post,2022-10-29 18:39:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2e_KOprogesterone_post_pup_top_left 20_12_2021 18_11_53 1.mp4,960.130,29.99,No focal subject,pup groom,,,STATE,295.774,315.025,19.251,,
JKAX4.3d_post,2022-10-29 15:59:16,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX4.3d_PorgesteroneKO_post_pup_top_right 29_01_2022 20_07_08 2.mp4,968.900,29.99,No focal subject,pup groom,,,STATE,296.787,305.790,9.003,,
JKAX6.2g_post,2022-10-30 23:27:19,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2g_KOprogesterone_post_pup_bottom_left 20_12_2021 18_11_53 3.mp4,960.560,29.97,No focal subject,nest building,,,STATE,301.042,323.043,22.001,,
JKAX6.2f_post,2022-10-29 19:29:40,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2f_KOprogesterone_post_pup_top_right 20_12_2021 18_11_53 2.mp4,960.425,29.99,No focal subject,pup groom,,,STATE,306.027,311.318,5.291,,
JKAX7.3b_post,2022-10-30 23:28:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX7.3b_PorgesteroneKO_post_pup_top_right 29_01_2022 20_35_26 2.mp4,960.223,29.99,No focal subject,pup groom,,,STATE,306.477,310.728,4.251,,
JKAX6.2g_post,2022-10-30 23:27:19,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2g_KOprogesterone_post_pup_bottom_left 20_12_2021 18_11_53 3.mp4,960.560,29.97,No focal subject,nest time,,,STATE,306.542,313.543,7.001,,
JKAX12.1e_post,2022-10-30 23:25:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX12.1e_PorgesteroneKO_post_pup_bottom_right 29_01_2022 19_37_49 4.mp4,960.450,29.94,No focal subject,pup groom,,,STATE,307.222,333.724,26.502,,
JKAX6.2h_post,2022-10-30 23:23:22,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2h_KOprogesterone_post_pup_bottom_right 20_12_2021 18_11_53 4.mp4,960.445,29.99,No focal subject,pup sniff,,,STATE,311.047,312.048,1.001,,
JKAX6.2h_post,2022-10-30 23:23:22,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2h_KOprogesterone_post_pup_bottom_right 20_12_2021 18_11_53 4.mp4,960.445,29.99,No focal subject,pup groom,,,STATE,312.048,329.798,17.750,,
JKAX6.2f_post,2022-10-29 19:29:40,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2f_KOprogesterone_post_pup_top_right 20_12_2021 18_11_53 2.mp4,960.425,29.99,No focal subject,pup groom,,,STATE,312.069,320.073,8.004,,
JKAX4.3d_post,2022-10-29 15:59:16,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX4.3d_PorgesteroneKO_post_pup_top_right 29_01_2022 20_07_08 2.mp4,968.900,29.99,No focal subject,pup groom,,,STATE,312.289,321.540,9.251,,
JKAX6.2f_post,2022-10-29 19:29:40,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2f_KOprogesterone_post_pup_top_right 20_12_2021 18_11_53 2.mp4,960.425,29.99,No focal subject,pup groom,,,STATE,322.325,340.074,17.749,,
JKAX7.3b_post,2022-10-30 23:28:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX7.3b_PorgesteroneKO_post_pup_top_right 29_01_2022 20_35_26 2.mp4,960.223,29.99,No focal subject,pup sniff,,,STATE,322.729,326.571,3.842,,
JKAX6.2e_post,2022-10-29 18:39:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2e_KOprogesterone_post_pup_top_left 20_12_2021 18_11_53 1.mp4,960.130,29.99,No focal subject,pup groom,,,STATE,324.533,344.025,19.492,,
JKAX6.2g_post,2022-10-30 23:27:19,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2g_KOprogesterone_post_pup_bottom_left 20_12_2021 18_11_53 3.mp4,960.560,29.97,No focal subject,nest building,,,STATE,325.319,331.830,6.511,,
JKAX4.3e_post,2022-10-30 23:26:12,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX4.3e_PorgesteroneKO_post_pup_top_left 29_01_2022 19_37_49 1.mp4,960.780,29.95,No focal subject,pup groom,,,STATE,329.458,343.958,14.500,,
JKAX6.2h_post,2022-10-30 23:23:22,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2h_KOprogesterone_post_pup_bottom_right 20_12_2021 18_11_53 4.mp4,960.445,29.99,No focal subject,pup groom,,,STATE,335.298,344.299,9.001,,
JKAX12.1e_post,2022-10-30 23:25:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX12.1e_PorgesteroneKO_post_pup_bottom_right 29_01_2022 19_37_49 4.mp4,960.450,29.94,No focal subject,pup groom,,,STATE,335.472,337.223,1.751,,
JKAX4.3e_post,2022-10-30 23:26:12,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX4.3e_PorgesteroneKO_post_pup_top_left 29_01_2022 19_37_49 1.mp4,960.780,29.95,No focal subject,pup groom,,,STATE,345.209,353.213,8.004,,
JKAX6.2e_post,2022-10-29 18:39:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2e_KOprogesterone_post_pup_top_left 20_12_2021 18_11_53 1.mp4,960.130,29.99,No focal subject,pup groom,,,STATE,345.524,373.527,28.003,,
JKAX12.1e_post,2022-10-30 23:25:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX12.1e_PorgesteroneKO_post_pup_bottom_right 29_01_2022 19_37_49 4.mp4,960.450,29.94,No focal subject,pup groom,,,STATE,350.224,352.474,2.250,,
JKAX12.1e_post,2022-10-30 23:25:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX12.1e_PorgesteroneKO_post_pup_bottom_right 29_01_2022 19_37_49 4.mp4,960.450,29.94,No focal subject,pup groom,,,STATE,354.473,357.224,2.751,,
JKAX12.1e_post,2022-10-30 23:25:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX12.1e_PorgesteroneKO_post_pup_bottom_right 29_01_2022 19_37_49 4.mp4,960.450,29.94,No focal subject,pup groom,,,STATE,358.476,362.324,3.848,,
JKAX6.2h_post,2022-10-30 23:23:22,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2h_KOprogesterone_post_pup_bottom_right 20_12_2021 18_11_53 4.mp4,960.445,29.99,No focal subject,pup groom,,,STATE,360.837,387.089,26.252,,
JKAX12.1e_post,2022-10-30 23:25:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX12.1e_PorgesteroneKO_post_pup_bottom_right 29_01_2022 19_37_49 4.mp4,960.450,29.94,No focal subject,pup groom,,,STATE,363.724,364.974,1.250,,
JKAX12.1e_post,2022-10-30 23:25:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX12.1e_PorgesteroneKO_post_pup_bottom_right 29_01_2022 19_37_49 4.mp4,960.450,29.94,No focal subject,pup groom,,,STATE,365.973,375.723,9.750,,
JKAX6.2g_post,2022-10-30 23:27:19,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2g_KOprogesterone_post_pup_bottom_left 20_12_2021 18_11_53 3.mp4,960.560,29.97,No focal subject,nest time,,,STATE,369.069,376.319,7.250,,
JKAX4.3e_post,2022-10-30 23:26:12,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX4.3e_PorgesteroneKO_post_pup_top_left 29_01_2022 19_37_49 1.mp4,960.780,29.95,No focal subject,pup groom,,,STATE,370.710,392.620,21.910,,
JKAX6.2g_post,2022-10-30 23:27:19,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2g_KOprogesterone_post_pup_bottom_left 20_12_2021 18_11_53 3.mp4,960.560,29.97,No focal subject,pup groom,,,STATE,372.319,379.318,6.999,,
JKAX6.2e_post,2022-10-29 18:39:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2e_KOprogesterone_post_pup_top_left 20_12_2021 18_11_53 1.mp4,960.130,29.99,No focal subject,pup groom,,,STATE,375.775,385.525,9.750,,
JKAX12.1e_post,2022-10-30 23:25:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX12.1e_PorgesteroneKO_post_pup_bottom_right 29_01_2022 19_37_49 4.mp4,960.450,29.94,No focal subject,pup groom,,,STATE,376.723,377.723,1.000,,
