Event,I_Injected(pA),Event start ,Event end ,Ramp_start,Ramp_end,filename,state
2.0,35.0,1583.59997558593,1588.59997558593,1080.0,2080.0,S1C4 03062025.xlsx,Pre
2.0,35.0,1667.90002441406,1672.90002441406,1080.0,2080.0,S1C4 03062025.xlsx,Pre
2.0,35.0,1733.30004882812,1738.59997558593,1080.0,2080.0,S1C4 03062025.xlsx,Pre
2.0,35.0,1799.69995117187,1805.19995117187,1080.0,2080.0,S1C4 03062025.xlsx,Pre
2.0,35.0,1868.90002441406,1874.90002441406,1080.0,2080.0,S1C4 03062025.xlsx,Pre
2.0,35.0,1928.5,1934.59997558593,1080.0,2080.0,S1C4 03062025.xlsx,Pre
2.0,35.0,1984.59997558593,1990.59997558593,1080.0,2080.0,S1C4 03062025.xlsx,Pre
2.0,35.0,2044.90002441406,2051.5,1080.0,2080.0,S1C4 03062025.xlsx,Pre
3.0,45.0,1354.0,1358.5,1080.0,2080.0,S1C4 03062025.xlsx,Pre
3.0,45.0,1464.19995117187,1468.90002441406,1080.0,2080.0,S1C4 03062025.xlsx,Pre
3.0,45.0,1549.19995117187,1554.09997558593,1080.0,2080.0,S1C4 03062025.xlsx,Pre
3.0,45.0,1621.09997558593,1626.5,1080.0,2080.0,S1C4 03062025.xlsx,Pre
3.0,45.0,1683.0,1688.5,1080.0,2080.0,S1C4 03062025.xlsx,Pre
3.0,45.0,1740.80004882812,1746.59997558593,1080.0,2080.0,S1C4 03062025.xlsx,Pre
3.0,45.0,1809.80004882812,1815.90002441406,1080.0,2080.0,S1C4 03062025.xlsx,Pre
3.0,45.0,1869.80004882812,1876.19995117187,1080.0,2080.0,S1C4 03062025.xlsx,Pre
3.0,45.0,1928.19995117187,1934.90002441406,1080.0,2080.0,S1C4 03062025.xlsx,Pre
3.0,45.0,1992.30004882812,1999.30004882812,1080.0,2080.0,S1C4 03062025.xlsx,Pre
3.0,45.0,2049.39990234375,2057.10009765625,1080.0,2080.0,S1C4 03062025.xlsx,Pre
4.0,55.0,1308.19995117187,1312.69995117187,1080.0,2080.0,S1C4 03062025.xlsx,Pre
4.0,55.0,1407.30004882812,1412.0,1080.0,2080.0,S1C4 03062025.xlsx,Pre
4.0,55.0,1488.19995117187,1493.30004882812,1080.0,2080.0,S1C4 03062025.xlsx,Pre
4.0,55.0,1550.0,1555.5,1080.0,2080.0,S1C4 03062025.xlsx,Pre
4.0,55.0,1608.40002441406,1614.0,1080.0,2080.0,S1C4 03062025.xlsx,Pre
4.0,55.0,1669.69995117187,1675.69995117187,1080.0,2080.0,S1C4 03062025.xlsx,Pre
4.0,55.0,1725.19995117187,1731.90002441406,1080.0,2080.0,S1C4 03062025.xlsx,Pre
4.0,55.0,1788.0,1794.69995117187,1080.0,2080.0,S1C4 03062025.xlsx,Pre
4.0,55.0,1839.69995117187,1846.80004882812,1080.0,2080.0,S1C4 03062025.xlsx,Pre
4.0,55.0,1888.80004882812,1896.30004882812,1080.0,2080.0,S1C4 03062025.xlsx,Pre
4.0,55.0,1942.40002441406,1950.19995117187,1080.0,2080.0,S1C4 03062025.xlsx,Pre
4.0,55.0,1995.19995117187,2003.80004882812,1080.0,2080.0,S1C4 03062025.xlsx,Pre
4.0,55.0,2058.0,2067.10009765625,1080.0,2080.0,S1C4 03062025.xlsx,Pre
5.0,65.0,1275.59997558593,1280.09997558593,1080.0,2080.0,S1C4 03062025.xlsx,Pre
5.0,65.0,1353.0,1357.69995117187,1080.0,2080.0,S1C4 03062025.xlsx,Pre
5.0,65.0,1415.09997558593,1420.19995117187,1080.0,2080.0,S1C4 03062025.xlsx,Pre
5.0,65.0,1478.0,1483.40002441406,1080.0,2080.0,S1C4 03062025.xlsx,Pre
5.0,65.0,1537.19995117187,1542.90002441406,1080.0,2080.0,S1C4 03062025.xlsx,Pre
5.0,65.0,1593.19995117187,1599.09997558593,1080.0,2080.0,S1C4 03062025.xlsx,Pre
5.0,65.0,1651.40002441406,1657.59997558593,1080.0,2080.0,S1C4 03062025.xlsx,Pre
5.0,65.0,1708.80004882812,1715.80004882812,1080.0,2080.0,S1C4 03062025.xlsx,Pre
5.0,65.0,1771.80004882812,1779.30004882812,1080.0,2080.0,S1C4 03062025.xlsx,Pre
5.0,65.0,1829.19995117187,1836.90002441406,1080.0,2080.0,S1C4 03062025.xlsx,Pre
5.0,65.0,1883.19995117187,1891.59997558593,1080.0,2080.0,S1C4 03062025.xlsx,Pre
5.0,65.0,1943.5,1952.90002441406,1080.0,2080.0,S1C4 03062025.xlsx,Pre
6.0,75.0,1269.69995117187,1274.19995117187,1080.0,2080.0,S1C4 03062025.xlsx,Pre
6.0,75.0,1351.69995117187,1356.40002441406,1080.0,2080.0,S1C4 03062025.xlsx,Pre
6.0,75.0,1406.30004882812,1411.5,1080.0,2080.0,S1C4 03062025.xlsx,Pre
6.0,75.0,1470.40002441406,1475.80004882812,1080.0,2080.0,S1C4 03062025.xlsx,Pre
6.0,75.0,1523.59997558593,1529.5,1080.0,2080.0,S1C4 03062025.xlsx,Pre
6.0,75.0,1575.30004882812,1582.0,1080.0,2080.0,S1C4 03062025.xlsx,Pre
6.0,75.0,1630.19995117187,1637.30004882812,1080.0,2080.0,S1C4 03062025.xlsx,Pre
6.0,75.0,1682.30004882812,1689.5,1080.0,2080.0,S1C4 03062025.xlsx,Pre
6.0,75.0,1740.69995117187,1748.0,1080.0,2080.0,S1C4 03062025.xlsx,Pre
6.0,75.0,1789.0,1796.59997558593,1080.0,2080.0,S1C4 03062025.xlsx,Pre
6.0,75.0,1847.80004882812,1856.19995117187,1080.0,2080.0,S1C4 03062025.xlsx,Pre
6.0,75.0,1912.19995117187,1919.5,1080.0,2080.0,S1C4 03062025.xlsx,Pre
7.0,85.0,1276.80004882812,1281.30004882812,1080.0,2080.0,S1C4 03062025.xlsx,Pre
7.0,85.0,1346.69995117187,1351.5,1080.0,2080.0,S1C4 03062025.xlsx,Pre
7.0,85.0,1411.40002441406,1416.5,1080.0,2080.0,S1C4 03062025.xlsx,Pre
7.0,85.0,1472.19995117187,1477.59997558593,1080.0,2080.0,S1C4 03062025.xlsx,Pre
7.0,85.0,1527.0,1533.09997558593,1080.0,2080.0,S1C4 03062025.xlsx,Pre
7.0,85.0,1581.19995117187,1588.0,1080.0,2080.0,S1C4 03062025.xlsx,Pre
7.0,85.0,1629.80004882812,1637.40002441406,1080.0,2080.0,S1C4 03062025.xlsx,Pre
7.0,85.0,1679.69995117187,1686.90002441406,1080.0,2080.0,S1C4 03062025.xlsx,Pre
7.0,85.0,1735.5,1743.09997558593,1080.0,2080.0,S1C4 03062025.xlsx,Pre
7.0,85.0,1790.0,1800.59997558593,1080.0,2080.0,S1C4 03062025.xlsx,Pre
7.0,85.0,1863.69995117187,1872.30004882812,1080.0,2080.0,S1C4 03062025.xlsx,Pre
8.0,95.0,1256.0,1260.5,1080.0,2080.0,S1C4 03062025.xlsx,Pre
8.0,95.0,1324.80004882812,1329.5,1080.0,2080.0,S1C4 03062025.xlsx,Pre
8.0,95.0,1380.90002441406,1386.0,1080.0,2080.0,S1C4 03062025.xlsx,Pre
8.0,95.0,1437.59997558593,1443.30004882812,1080.0,2080.0,S1C4 03062025.xlsx,Pre
8.0,95.0,1489.0,1495.09997558593,1080.0,2080.0,S1C4 03062025.xlsx,Pre
8.0,95.0,1539.5,1546.30004882812,1080.0,2080.0,S1C4 03062025.xlsx,Pre
8.0,95.0,1592.19995117187,1599.40002441406,1080.0,2080.0,S1C4 03062025.xlsx,Pre
8.0,95.0,1642.0,1649.5,1080.0,2080.0,S1C4 03062025.xlsx,Pre
8.0,95.0,1698.5,1707.19995117187,1080.0,2080.0,S1C4 03062025.xlsx,Pre
8.0,95.0,1750.09997558593,1758.80004882812,1080.0,2080.0,S1C4 03062025.xlsx,Pre
8.0,95.0,1802.59997558593,1811.80004882812,1080.0,2080.0,S1C4 03062025.xlsx,Pre
