,Name,total_area
212,"Medial geniculate complex, dorsal part",1553439.1
213,"Medial geniculate complex, medial part",3399498.5
214,"Medial geniculate complex, ventral part",2828266.8
215,Medial group of the dorsal thalamus,25219866.3
216,Medial habenula,4343436.8
217,Medial mammillary nucleus,8057325.6
218,"Medial mammillary nucleus, dorsal part",922069.19
219,"Medial mammillary nucleus, lateral part",3253880
220,"Medial mammillary nucleus, medial part",2044861.6
221,"Medial mammillary nucleus, median part",1398523.2
222,"Medial mammillary nucleus, posterior part",438009
223,Medial preoptic area,6737914.3
224,Medial preoptic nucleus,5440870.75
225,Medial pretectal area,831239.3
226,Medial septal complex,15545359.3
227,Medial septal nucleus,4816450.6
228,Medial terminal nucleus of the accessory optic tract,510678.4
229,Median eminence,1654876.2
230,Median preoptic nucleus,443589.4
231,Mediodorsal nucleus of thalamus,17130215.8
232,Midbrain,164442889.8
233,Midbrain raphe nuclei,1956950.42
234,Midbrain reticular nucleus,21353908.2
235,"Midbrain, behavioral state related",3569969.1
236,"Midbrain, motor related",110640412.5
237,"Midbrain, sensory related",7104631.5
238,Midline group of the dorsal thalamus,17089231.8
239,Nucleus accumbens,46927540.8
240,Nucleus of Darkschewitsch,1031462.7
241,Nucleus of reuniens,6354880.8
242,Nucleus of the lateral olfactory tract,2871529.7
243,"Nucleus of the lateral olfactory tract, layer 3",542446.1
244,"Nucleus of the lateral olfactory tract, molecular layer",979245.9
245,"Nucleus of the lateral olfactory tract, pyramidal layer",1349837.4
246,Nucleus of the optic tract,3755100.7
247,Nucleus of the posterior commissure,6621008.2
248,Olfactory areas,183731260.7
249,Olfactory tubercle,38993673.2
250,Olivary pretectal nucleus,972478.7
251,Pallidum,111142938.6
252,"Pallidum, caudal region",17486517.5
253,"Pallidum, dorsal region",20662076.3
254,"Pallidum, medial region",20869301.9
255,"Pallidum, ventral region",39749755.22
256,Paracentral nucleus,2608481.4
257,Parafascicular nucleus,5188086.8
258,Paranigral nucleus,107566.3
259,Parastrial nucleus,1165070.3
260,Parasubthalamic nucleus,1833991.9
261,Parataenial nucleus,3115012.2
262,Paraventricular hypothalamic nucleus,3323954.3
263,"Paraventricular hypothalamic nucleus, descending division",2180376.1
264,Paraventricular nucleus of the thalamus,6319820.9
265,PathAnnotationObject,5056308847.7
266,Periaqueductal gray,14450892.7
267,Perifornical nucleus,2060994
268,Peripeduncular nucleus,556567.8
269,Perireunensis nucleus,1958984.4
270,Perirhinal area,5687917.7
271,"Perirhinal area, layer 1",1699249.8
272,"Perirhinal area, layer 2/3",2582255.1
273,"Perirhinal area, layer 5",1140777.8
274,"Perirhinal area, layer 6a",222213.25
275,"Perirhinal area, layer 6b",43499.94
276,"Periventricular hypothalamic nucleus, anterior part",1586667.2
277,"Periventricular hypothalamic nucleus, intermediate part",3831986.8
278,"Periventricular hypothalamic nucleus, posterior part",4658914.2
279,"Periventricular hypothalamic nucleus, preoptic part",2213439.3
280,Periventricular region,29600164.7
281,Periventricular zone,14055997.5
282,Piriform area,113945612.4
283,Piriform-amygdalar area,13934108.6
284,Posterior amygdalar nucleus,11371346.51
285,Posterior auditory area,6059859.9
286,"Posterior auditory area, layer 1",1090650.4
287,"Posterior auditory area, layer 2/3",1471523.2
288,"Posterior auditory area, layer 4",736739.8
289,"Posterior auditory area, layer 5",1814832.391
290,"Posterior auditory area, layer 6a",775311.9
291,"Posterior auditory area, layer 6b",170802.6
292,Posterior complex of the thalamus,11724418.1
293,Posterior hypothalamic nucleus,8483849.7
294,Posterior intralaminar thalamic nucleus,1496733.2
295,Posterior limiting nucleus of the thalamus,2487151.6
296,Posterior parietal association areas,23571503.99
297,Posterior pretectal nucleus,3028715.8
298,Posterior triangular thalamic nucleus,4613483.88
299,Posterodorsal preoptic nucleus,74610.54
300,Postpiriform transition area,8522241.7
301,Postsubiculum,1502338.3
302,Precommissural nucleus,1903696.2
303,Preparasubthalamic nucleus,32988.6
304,Pretectal region,36049997.3
305,Primary auditory area,26248101
306,"Primary auditory area, layer 1",4475985
307,"Primary auditory area, layer 2/3",5653568.3
308,"Primary auditory area, layer 4",2826546.4
309,"Primary auditory area, layer 5",8855341.5
310,"Primary auditory area, layer 6a",3728841.78
311,"Primary auditory area, layer 6b",707817.6
312,Primary motor area,82835548.8
313,"Primary motor area, Layer 1",8022631.9
314,"Primary motor area, Layer 2/3",23918709.07
315,"Primary motor area, Layer 5",22279451.8
316,"Primary motor area, Layer 6a",26474943.3
317,"Primary motor area, Layer 6b",2139811.5
318,Primary somatosensory area,287739666.6
319,"Primary somatosensory area, barrel field",61431354
320,"Primary somatosensory area, barrel field, layer 1",8277259.3
321,"Primary somatosensory area, barrel field, layer 2/3",15318858.4
322,"Primary somatosensory area, barrel field, layer 4",12567789.13
323,"Primary somatosensory area, barrel field, layer 5",11557225
324,"Primary somatosensory area, barrel field, layer 6a",12210422.4
325,"Primary somatosensory area, barrel field, layer 6b",1190842.2
326,"Primary somatosensory area, lower limb",31728133.58
327,"Primary somatosensory area, lower limb, layer 1",3913711.46
328,"Primary somatosensory area, lower limb, layer 2/3",8548902.15
329,"Primary somatosensory area, lower limb, layer 4",3708046.7
330,"Primary somatosensory area, lower limb, layer 5",7686788.35
331,"Primary somatosensory area, lower limb, layer 6a",7193445.8
332,"Primary somatosensory area, lower limb, layer 6b",677238.51
333,"Primary somatosensory area, mouth",74400473.92
334,"Primary somatosensory area, mouth, layer 1",7747815.3
335,"Primary somatosensory area, mouth, layer 2/3",15382438.21
336,"Primary somatosensory area, mouth, layer 4",11328863.23
337,"Primary somatosensory area, mouth, layer 5",15203340.1
338,"Primary somatosensory area, mouth, layer 6a",23142778.4
339,"Primary somatosensory area, mouth, layer 6b",1595239.22
340,"Primary somatosensory area, nose",37150887.9
341,"Primary somatosensory area, nose, layer 1",4960224.8
342,"Primary somatosensory area, nose, layer 2/3",8078863.3
343,"Primary somatosensory area, nose, layer 4",6866755.4
344,"Primary somatosensory area, nose, layer 5",7018028.4
345,"Primary somatosensory area, nose, layer 6a",9606919.6
346,"Primary somatosensory area, nose, layer 6b",620096.3
347,"Primary somatosensory area, trunk",17702065.29
348,"Primary somatosensory area, trunk, layer 1",2857554.19
349,"Primary somatosensory area, trunk, layer 2/3",5906335
350,"Primary somatosensory area, trunk, layer 4",1964809.42
351,"Primary somatosensory area, trunk, layer 5",4321582.99
352,"Primary somatosensory area, trunk, layer 6a",2381833.1
353,"Primary somatosensory area, trunk, layer 6b",269950.15
354,"Primary somatosensory area, unassigned",16197072.5
355,"Primary somatosensory area, unassigned, layer 1",2072767.5
356,"Primary somatosensory area, unassigned, layer 2/3",4165227.6
357,"Primary somatosensory area, unassigned, layer 4",2361266.3
358,"Primary somatosensory area, unassigned, layer 5",3470275
359,"Primary somatosensory area, unassigned, layer 6a",3825042
360,"Primary somatosensory area, unassigned, layer 6b",302494.67
361,"Primary somatosensory area, upper limb",49129492.5
362,"Primary somatosensory area, upper limb, layer 1",6373025.8
363,"Primary somatosensory area, upper limb, layer 2/3",13178707.9
364,"Primary somatosensory area, upper limb, layer 4",6811456.69
365,"Primary somatosensory area, upper limb, layer 5",10060964.6
366,"Primary somatosensory area, upper limb, layer 6a",11771059.37
367,"Primary somatosensory area, upper limb, layer 6b",934278.9
368,Primary visual area,31627426.9
369,"Primary visual area, layer 1",4883466.7
370,"Primary visual area, layer 2/3",8247177.6
371,"Primary visual area, layer 4",4635774.4
372,"Primary visual area, layer 5",8552344.5
373,"Primary visual area, layer 6a",5325422.6
374,"Primary visual area, layer 6b",1088694.6
375,Prosubiculum,3471261.7
376,Red nucleus,3672655.1
377,Reticular nucleus of the thalamus,15200738.5
378,Retrochiasmatic area,1403089.8
379,Retrohippocampal region,35652255.1
380,Retroparafascicular nucleus,1156778.8
381,Retrosplenial area,99112954.2
382,"Retrosplenial area, dorsal part",31460015.7
383,"Retrosplenial area, dorsal part, layer 1",6103534.9
384,"Retrosplenial area, dorsal part, layer 2/3",8277680.6
385,"Retrosplenial area, dorsal part, layer 5",10238241.3
386,"Retrosplenial area, dorsal part, layer 6a",6524663.4
387,"Retrosplenial area, dorsal part, layer 6b",315897
388,"Retrosplenial area, lateral agranular part",18419341.7
389,"Retrosplenial area, lateral agranular part, layer 1",3262456.5
390,"Retrosplenial area, lateral agranular part, layer 2/3",5087395.1
391,"Retrosplenial area, lateral agranular part, layer 5",6126948.4
392,"Retrosplenial area, lateral agranular part, layer 6a",3499030.2
393,"Retrosplenial area, lateral agranular part, layer 6b",352489.4
394,"Retrosplenial area, ventral part",49233597.6
395,"Retrosplenial area, ventral part, layer 1",10541319.4
396,"Retrosplenial area, ventral part, layer 2/3",11351617.5
397,"Retrosplenial area, ventral part, layer 5",19290713.4
398,"Retrosplenial area, ventral part, layer 6a",7654455.8
399,"Retrosplenial area, ventral part, layer 6b",570282.6
400,Rhomboid nucleus,1213093.5
401,Root,3246165789
402,Rostral linear nucleus raphe,319672.6
403,"Rostrolateral area, layer 1",1887165.4
404,"Rostrolateral area, layer 2/3",3101461.6
405,"Rostrolateral area, layer 4",1693013.7
406,"Rostrolateral area, layer 5",3041492.4
407,"Rostrolateral area, layer 6a",1948538.39
408,"Rostrolateral area, layer 6b",370776.4
409,Rostrolateral visual area,12042447.7
410,Secondary motor area,47920538.8
411,"Secondary motor area, layer 1",7176777.7
412,"Secondary motor area, layer 2/3",12510132.9
413,"Secondary motor area, layer 5",15797939.9
414,"Secondary motor area, layer 6a",11970633.1
415,"Secondary motor area, layer 6b",465056.3
416,Septofimbrial nucleus,6990512.9
417,Septohippocampal nucleus,740903.1
418,Somatomotor areas,130756087.5
419,Somatosensory areas,379476949.8
420,Striatum,531049523.2
421,Striatum dorsal region,318409063
422,Striatum ventral region,91560116.6
423,Striatum-like amygdalar nuclei,38317913.4
424,Subcommissural organ,207592.89
425,Subfornical organ,274298.8
426,Subgeniculate nucleus,374212.5
427,Subiculum,8425842.3
428,Submedial nucleus of the thalamus,3777274.6
429,Subparafascicular area,1619319.2
430,Subparafascicular nucleus,3204677.2
431,"Subparafascicular nucleus, magnocellular part",820832.3
432,"Subparafascicular nucleus, parvicellular part",2383844.9
433,Subparaventricular zone,2643428.5
434,Substantia innominata,34806517.52
435,"Substantia nigra, compact part",1613018.8
436,"Substantia nigra, reticular part",11979532.1
437,Subthalamic nucleus,1796529.6
438,"Superior colliculus, motor related",17332516
439,"Superior colliculus, motor related, deep gray layer",1279108.3
440,"Superior colliculus, motor related, deep white layer",547764.1
441,"Superior colliculus, motor related, intermediate gray layer",9549896
442,"Superior colliculus, motor related, intermediate white layer",5955743
443,"Superior colliculus, optic layer",2604651
444,"Superior colliculus, sensory related",6897040.8
445,"Superior colliculus, superficial gray layer",3039669.86
446,"Superior colliculus, zonal layer",1252718.2
447,Supplemental somatosensory area,91737174.6
448,"Supplemental somatosensory area, layer 1",13313173.1
449,"Supplemental somatosensory area, layer 2/3",22265279.29
450,"Supplemental somatosensory area, layer 4",12098005.7
451,"Supplemental somatosensory area, layer 5",21677955.7
452,"Supplemental somatosensory area, layer 6a",128919985.37
453,"Supplemental somatosensory area, layer 6b",1950291.35
454,Suprachiasmatic nucleus,1260663.3
455,Suprageniculate nucleus,2145830.2
456,Supramammillary nucleus,3991060.4
457,Supraoptic nucleus,419287.7
458,Temporal association areas,17862162.6
459,"Temporal association areas, layer 1",2815421.5
460,"Temporal association areas, layer 2/3",3956538.9
461,"Temporal association areas, layer 4",1559647.2
462,"Temporal association areas, layer 5",5639573.6
463,"Temporal association areas, layer 6a",3353452.1
464,"Temporal association areas, layer 6b",537532.4
465,Thalamus,235788421.9
466,"Thalamus, polymodal association cortex related",255743697.9
467,"Thalamus, sensory-motor cortex related",72871218.1
468,Triangular nucleus of septum,5323936.8
469,Tuberal nucleus,3776870.8
470,Tuberomammillary nucleus,2780639.7
471,"Tuberomammillary nucleus, dorsal part",1137189.3
472,"Tuberomammillary nucleus, ventral part",1643450.97
473,Vascular organ of the lamina terminalis,104096
474,Ventral anterior-lateral complex of the thalamus,9768578.5
475,Ventral auditory area,17897003.1
476,"Ventral auditory area, layer 1",2808496.5
477,"Ventral auditory area, layer 2/3",3750991.1
