,Name,total_area
199,Magnocellular nucleus,2704535.8
200,Mammillary body,7954600.1
201,Medial accesory oculomotor nucleus,49443.5
202,Medial amygdalar nucleus,15507760.7
203,Medial geniculate complex,2860829.7
204,"Medial geniculate complex, dorsal part",445937.9
205,"Medial geniculate complex, medial part",1403494.7
206,"Medial geniculate complex, ventral part",1011396.99
207,Medial group of the dorsal thalamus,16232496.8
208,Medial habenula,2542251.2
209,Medial mammillary nucleus,3991184.5
210,"Medial mammillary nucleus, dorsal part",397369.01
211,"Medial mammillary nucleus, lateral part",1554181.6
212,"Medial mammillary nucleus, medial part",1167183.3
213,"Medial mammillary nucleus, median part",769224.8
214,"Medial mammillary nucleus, posterior part",103255.79999999999
215,Medial preoptic area,4502153.3
216,Medial preoptic nucleus,3828144.5
217,Medial pretectal area,315727.3
218,Medial septal complex,8848705.7
219,Medial septal nucleus,3506604.63
220,Medial terminal nucleus of the accessory optic tract,166413.1
221,Median eminence,938319.2
222,Median preoptic nucleus,346340.7
223,Mediodorsal nucleus of thalamus,10886405.6
224,Midbrain,60089057.0
225,Midbrain raphe nuclei,300655.5
226,Midbrain reticular nucleus,7587540.8
227,"Midbrain, behavioral state related",1169525.2
228,"Midbrain, motor related",36351015.1
229,"Midbrain, sensory related",470934.1
230,Midline group of the dorsal thalamus,10406739.0
231,Nucleus accumbens,20487046.6
232,Nucleus of Darkschewitsch,292395.0
233,Nucleus of reuniens,3488197.1
234,Nucleus of the lateral olfactory tract,1559874.9100000001
235,"Nucleus of the lateral olfactory tract, layer 3",304880.51
236,"Nucleus of the lateral olfactory tract, molecular layer",510559.9
237,"Nucleus of the lateral olfactory tract, pyramidal layer",744435.3
238,Nucleus of the optic tract,1360154.8
239,Nucleus of the posterior commissure,2480297.5
240,Olfactory areas,100534838.2
241,Olfactory tubercle,18467929.3
242,Olivary pretectal nucleus,461966.3
243,Pallidum,67945990.6
244,"Pallidum, caudal region",11394130.3
245,"Pallidum, dorsal region",14185770.9
246,"Pallidum, medial region",11663641.2
247,"Pallidum, ventral region",22430173.2
248,Paracentral nucleus,1708217.4000000001
249,Parafascicular nucleus,3966491.1
250,Parastrial nucleus,730127.0
251,Parasubthalamic nucleus,1315518.0
252,Parataenial nucleus,2259542.6
253,Paraventricular hypothalamic nucleus,1924751.7
254,"Paraventricular hypothalamic nucleus, descending division",1199156.0
255,Paraventricular nucleus of the thalamus,3923134.1
256,Periaqueductal gray,5789415.5
257,Perifornical nucleus,1721682.9
258,Peripeduncular nucleus,124400.20000000001
259,Perireunensis nucleus,1245254.3
260,Perirhinal area,2877504.0
261,"Perirhinal area, layer 1",892223.7
262,"Perirhinal area, layer 2/3",1326074.8
263,"Perirhinal area, layer 5",572056.4
264,"Perirhinal area, layer 6a",75513.84
265,"Perirhinal area, layer 6b",11649.7
266,"Periventricular hypothalamic nucleus, anterior part",447277.3
267,"Periventricular hypothalamic nucleus, intermediate part",2003941.6
268,"Periventricular hypothalamic nucleus, posterior part",1196634.5
269,"Periventricular hypothalamic nucleus, preoptic part",1542637.7
270,Periventricular region,17340165.5
271,Periventricular zone,7862266.7
272,Piriform area,64450232.8
273,Piriform-amygdalar area,8039223.9
274,Posterior amygdalar nucleus,5327925.2
275,Posterior auditory area,1931130.7
276,"Posterior auditory area, layer 1",323613.5
277,"Posterior auditory area, layer 2/3",451611.7
278,"Posterior auditory area, layer 4",223998.4
279,"Posterior auditory area, layer 5",598796.8
280,"Posterior auditory area, layer 6a",272510.5
281,"Posterior auditory area, layer 6b",60599.5
282,Posterior complex of the thalamus,9940477.8
283,Posterior hypothalamic nucleus,6196002.3
284,Posterior intralaminar thalamic nucleus,323683.3
285,Posterior limiting nucleus of the thalamus,963673.3
286,Posterior parietal association areas,17154499.3
287,Posterior pretectal nucleus,976168.9
288,Posterior triangular thalamic nucleus,2048430.4
289,Posterodorsal preoptic nucleus,99455.6
290,Postpiriform transition area,3301864.1
291,Postsubiculum,45392.8
292,Precommissural nucleus,1350839.3
293,Preparasubthalamic nucleus,115384.4
294,Pretectal region,14967398.6
295,Primary auditory area,12076902.6
