,Name,total_area
200,"Medial geniculate complex, medial part",2887627.8
201,"Medial geniculate complex, ventral part",2236433.2
202,Medial group of the dorsal thalamus,31750364.6
203,Medial habenula,5000835.76
204,Medial mammillary nucleus,6316680.0
205,"Medial mammillary nucleus, dorsal part",730609.87
206,"Medial mammillary nucleus, lateral part",2498529.4
207,"Medial mammillary nucleus, medial part",1843240.66
208,"Medial mammillary nucleus, median part",1051350.4
209,"Medial mammillary nucleus, posterior part",193025.4
210,Medial preoptic area,9358169.6
211,Medial preoptic nucleus,7980757.5600000005
212,Medial pretectal area,716221.6
213,Medial septal complex,18007774.1
214,Medial septal nucleus,6465016.0
215,Medial terminal nucleus of the accessory optic tract,259848.3
216,Median eminence,1338172.73
217,Median preoptic nucleus,654366.1
218,Mediodorsal nucleus of thalamus,21687181.9
219,Midbrain,120867210.6
220,Midbrain raphe nuclei,480156.5
221,Midbrain reticular nucleus,14837845.4
222,"Midbrain, behavioral state related",2227301.6
223,"Midbrain, motor related",75428801.5
224,"Midbrain, sensory related",2221686.9
225,Midline group of the dorsal thalamus,19928859.4
226,Nucleus accumbens,52232636.5
227,Nucleus of Darkschewitsch,587763.1
228,Nucleus of reuniens,6845466.7
229,Nucleus of the lateral olfactory tract,4874054.1
230,"Nucleus of the lateral olfactory tract, layer 3",883102.9
231,"Nucleus of the lateral olfactory tract, molecular layer",1719944.5
232,"Nucleus of the lateral olfactory tract, pyramidal layer",2271006.4
233,Nucleus of the optic tract,3204594.4
234,Nucleus of the posterior commissure,5234973.5
235,Olfactory areas,221670238.5
236,Olfactory tubercle,46536796.2
237,Olivary pretectal nucleus,936029.6
238,Pallidum,144129742.46
239,"Pallidum, caudal region",22956173.5
240,"Pallidum, dorsal region",30895950.2
241,"Pallidum, medial region",23664971.1
242,"Pallidum, ventral region",48936764.8
243,Paracentral nucleus,3771209.4
244,Parafascicular nucleus,8162513.3
245,Parastrial nucleus,1489399.4
246,Parasubthalamic nucleus,2522103.7
247,Parataenial nucleus,4162661.2
248,Paraventricular hypothalamic nucleus,3074612.8
249,"Paraventricular hypothalamic nucleus, descending division",2058414.3
250,Paraventricular nucleus of the thalamus,7566209.9
251,Periaqueductal gray,11625411.1
252,Perifornical nucleus,3349563.7
253,Peripeduncular nucleus,169266.3
254,Perireunensis nucleus,2369104.7
255,Perirhinal area,6283273.5
256,"Perirhinal area, layer 1",1966920.9
257,"Perirhinal area, layer 2/3",2915481.7
258,"Perirhinal area, layer 5",1245075.8
259,"Perirhinal area, layer 6a",141363.49
260,"Perirhinal area, layer 6b",14431.7
261,"Periventricular hypothalamic nucleus, anterior part",904958.1
262,"Periventricular hypothalamic nucleus, intermediate part",3304271.3
263,"Periventricular hypothalamic nucleus, posterior part",1655736.9
264,"Periventricular hypothalamic nucleus, preoptic part",3196868.6
265,Periventricular region,33716485.2
266,Periventricular zone,12890403.7
267,Piriform area,144874851.2
268,Piriform-amygdalar area,17652240.9
269,Posterior amygdalar nucleus,10848760.7
270,Posterior auditory area,4959694.3
271,"Posterior auditory area, layer 1",825972.6
272,"Posterior auditory area, layer 2/3",1183137.8
273,"Posterior auditory area, layer 4",547892.5
274,"Posterior auditory area, layer 5",1556077.5
275,"Posterior auditory area, layer 6a",695207.79
276,"Posterior auditory area, layer 6b",151405.7
277,Posterior complex of the thalamus,19923779.1
278,Posterior hypothalamic nucleus,10685709.7
279,Posterior intralaminar thalamic nucleus,641922.7
280,Posterior limiting nucleus of the thalamus,2148855.8000000003
281,Posterior parietal association areas,37252446.03
282,Posterior pretectal nucleus,2266434.8
283,Posterior triangular thalamic nucleus,3820659.4
284,Posterodorsal preoptic nucleus,234840.81
285,Postpiriform transition area,4296270.9
286,Postsubiculum,236464.3
287,Precommissural nucleus,3093079.1
288,Preparasubthalamic nucleus,205684.4
289,Pretectal region,32029414.400000002
290,Primary auditory area,30233402.4
291,"Primary auditory area, layer 1",5183074.8
292,"Primary auditory area, layer 2/3",6608272.7
293,"Primary auditory area, layer 4",3271911.7
294,"Primary auditory area, layer 5",10149988.6
295,"Primary auditory area, layer 6a",4247517.3
296,"Primary auditory area, layer 6b",772637.5
297,Primary motor area,97604947.7
298,"Primary motor area, Layer 1",9026019.4
299,"Primary motor area, Layer 2/3",27318289.9
300,"Primary motor area, Layer 5",26294851.8
301,"Primary motor area, Layer 6a",32428965.82
302,"Primary motor area, Layer 6b",2536820.6
303,Primary somatosensory area,371126043.5
304,"Primary somatosensory area, barrel field",97076534.0
305,"Primary somatosensory area, barrel field, layer 1",12944671.0
306,"Primary somatosensory area, barrel field, layer 2/3",23364559.3
307,"Primary somatosensory area, barrel field, layer 4",19787942.6
308,"Primary somatosensory area, barrel field, layer 5",18645479.06
309,"Primary somatosensory area, barrel field, layer 6a",20067827.9
310,"Primary somatosensory area, barrel field, layer 6b",2266054.95
311,"Primary somatosensory area, lower limb",37164770.67
312,"Primary somatosensory area, lower limb, layer 1",4757175.97
313,"Primary somatosensory area, lower limb, layer 2/3",10237732.2
314,"Primary somatosensory area, lower limb, layer 4",4312268.7
315,"Primary somatosensory area, lower limb, layer 5",8766095.57
316,"Primary somatosensory area, lower limb, layer 6a",8311761.54
317,"Primary somatosensory area, lower limb, layer 6b",779737.41
318,"Primary somatosensory area, mouth",88434066.8
319,"Primary somatosensory area, mouth, layer 1",9248460.2
320,"Primary somatosensory area, mouth, layer 2/3",18897462.9
321,"Primary somatosensory area, mouth, layer 4",13723432.3
322,"Primary somatosensory area, mouth, layer 5",18381804.04
323,"Primary somatosensory area, mouth, layer 6a",26339747.9
324,"Primary somatosensory area, mouth, layer 6b",1843158.8
325,"Primary somatosensory area, nose",46981213.39
326,"Primary somatosensory area, nose, layer 1",6345855.2
327,"Primary somatosensory area, nose, layer 2/3",10051009.9
328,"Primary somatosensory area, nose, layer 4",8544336.7
329,"Primary somatosensory area, nose, layer 5",8803599.74
330,"Primary somatosensory area, nose, layer 6a",12425442.75
331,"Primary somatosensory area, nose, layer 6b",811006.13
332,"Primary somatosensory area, trunk",22084856.0
333,"Primary somatosensory area, trunk, layer 1",3209385.5
