,Name,total_area
179,Lateral dorsal nucleus of thalamus,8157396.7
180,Lateral group of the dorsal thalamus,23547747.1
181,Lateral habenula,2948294.4
182,Lateral hypothalamic area,14688776.01
183,Lateral mammillary nucleus,687758.8
184,Lateral posterior nucleus of the thalamus,9626068.6
185,Lateral preoptic area,4088021.6
186,Lateral septal complex,27637599.2
187,Lateral septal nucleus,23797231.7
188,"Lateral septal nucleus, caudal (caudodorsal) part",4000626.8
189,"Lateral septal nucleus, rostral (rostroventral) part",14950618.21
190,"Lateral septal nucleus, ventral part",4845988.5
191,Lateral terminal nucleus of the accessory optic tract,110936.5
192,Magnocellular nucleus,1929515.8
193,Mammillary body,7644559.3
194,Medial accesory oculomotor nucleus,49610.1
195,Medial amygdalar nucleus,14777684.9
196,Medial geniculate complex,2910006.5999999996
197,"Medial geniculate complex, dorsal part",423889.80000000005
198,"Medial geniculate complex, medial part",1467540.4
199,"Medial geniculate complex, ventral part",1018576.7
200,Medial group of the dorsal thalamus,16939023.9
201,Medial habenula,2696766.9
202,Medial mammillary nucleus,3993870.8
203,"Medial mammillary nucleus, dorsal part",446927.0
204,"Medial mammillary nucleus, lateral part",1570586.9
205,"Medial mammillary nucleus, medial part",1163464.4
206,"Medial mammillary nucleus, median part",706081.7
207,"Medial mammillary nucleus, posterior part",106840.0
208,Medial preoptic area,4493584.9
209,Medial preoptic nucleus,4070854.9
210,Medial pretectal area,290520.7
211,Medial septal complex,8621123.58
212,Medial septal nucleus,3107940.6
213,Medial terminal nucleus of the accessory optic tract,137386.4
214,Median eminence,706782.8
215,Median preoptic nucleus,322365.9
216,Mediodorsal nucleus of thalamus,11548413.8
217,Midbrain,58771283.1
218,Midbrain raphe nuclei,227445.4
219,Midbrain reticular nucleus,7632544.7
220,"Midbrain, behavioral state related",1199643.5
221,"Midbrain, motor related",35325529.8
222,"Midbrain, sensory related",395555.4
223,Midline group of the dorsal thalamus,12590180.1
224,Nucleus accumbens,26778707.5
225,Nucleus of Darkschewitsch,277333.4
226,Nucleus of reuniens,3836249.0
227,Nucleus of the lateral olfactory tract,2195320.8
228,"Nucleus of the lateral olfactory tract, layer 3",414251.39999999997
229,"Nucleus of the lateral olfactory tract, molecular layer",757541.5
230,"Nucleus of the lateral olfactory tract, pyramidal layer",1023528.5
231,Nucleus of the optic tract,1310222.6
232,Nucleus of the posterior commissure,2247847.0
233,Olfactory areas,110034164.3
234,Olfactory tubercle,21560987.0
235,Olivary pretectal nucleus,401788.0
236,Pallidum,70226714.7
237,"Pallidum, caudal region",12276387.1
238,"Pallidum, dorsal region",15822935.88
239,"Pallidum, medial region",11044991.18
240,"Pallidum, ventral region",22284639.9
241,Paracentral nucleus,2075125.2
242,Parafascicular nucleus,3859444.9
243,Parastrial nucleus,758869.5
244,Parasubthalamic nucleus,1162466.6
245,Parataenial nucleus,3037292.2
246,Paraventricular hypothalamic nucleus,1980235.9
247,"Paraventricular hypothalamic nucleus, descending division",1035421.6
248,Paraventricular nucleus of the thalamus,4964239.5
249,Periaqueductal gray,5668480.2
250,Perifornical nucleus,1503477.1
251,Peripeduncular nucleus,59353.1
252,Perireunensis nucleus,1263754.9
253,Perirhinal area,3142190.0
254,"Perirhinal area, layer 1",991198.3
255,"Perirhinal area, layer 2/3",1454997.1
256,"Perirhinal area, layer 5",619952.9
257,"Perirhinal area, layer 6a",71002.95999999999
258,"Perirhinal area, layer 6b",5038.43
259,"Periventricular hypothalamic nucleus, anterior part",597042.0
260,"Periventricular hypothalamic nucleus, intermediate part",1883446.4
261,"Periventricular hypothalamic nucleus, posterior part",832304.2
262,"Periventricular hypothalamic nucleus, preoptic part",1908868.5
263,Periventricular region,17038320.3
264,Periventricular zone,7351744.9
265,Piriform area,70045522.9
266,Piriform-amygdalar area,8937782.4
267,Posterior amygdalar nucleus,5872955.7
268,Posterior auditory area,1736277.5
269,"Posterior auditory area, layer 1",283210.5
270,"Posterior auditory area, layer 2/3",420868.6
271,"Posterior auditory area, layer 4",189783.4
272,"Posterior auditory area, layer 5",552887.1
273,"Posterior auditory area, layer 6a",239311.1
274,"Posterior auditory area, layer 6b",50216.7
275,Posterior complex of the thalamus,10295034.8
276,Posterior hypothalamic nucleus,5118126.7
