Observation id	Observation date	Description	Observation type	Source	Total duration	Media duration (s)	FPS (frame/s)	Subject	Observation duration by subject by observation	Behavior	Behavioral category	Behavior type	Start (s)	Stop (s)	Duration (s)	Media file name	Image index start	Image index stop	Image file path start	Image file path stop	Comment start	Comment stop
BRAC9442.3i_ZD	2025-02-19 15:29:07		Media file	player #1:Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	926.550	934.350	20.000	No focal subject	903.996	in empty nest	Not defined	STATE	72.600	78.350	5.750	Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	1452	1567				
BRAC9442.3i_ZD	2025-02-19 15:29:07		Media file	player #1:Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	926.550	934.350	20.000	No focal subject	903.996	rearing	stress behaviour	STATE	74.450	76.250	1.800	Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	1489	1525				
BRAC9442.3i_ZD	2025-02-19 15:29:07		Media file	player #1:Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	926.550	934.350	20.000	No focal subject	903.996	rearing	stress behaviour	STATE	77.650	78.350	0.700	Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	1553	1567				
BRAC9442.3i_ZD	2025-02-19 15:29:07		Media file	player #1:Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	926.550	934.350	20.000	No focal subject	903.996	chemoinvestigation	investigation	STATE	79.250	80.900	1.650	Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	1585	1618				
BRAC9442.3i_ZD	2025-02-19 15:29:07		Media file	player #1:Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	926.550	934.350	20.000	No focal subject	903.996	rearing	stress behaviour	STATE	81.450	82.800	1.350	Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	1629	1656				
BRAC9442.3i_ZD	2025-02-19 15:29:07		Media file	player #1:Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	926.550	934.350	20.000	No focal subject	903.996	chemoinvestigation	investigation	STATE	84.750	85.300	0.550	Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	1695	1706				
BRAC9442.3i_ZD	2025-02-19 15:29:07		Media file	player #1:Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	926.550	934.350	20.000	No focal subject	903.996	rearing	stress behaviour	STATE	87.950	88.750	0.800	Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	1759	1775				
BRAC9442.3i_ZD	2025-02-19 15:29:07		Media file	player #1:Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	926.550	934.350	20.000	No focal subject	903.996	rearing	stress behaviour	STATE	90.200	92.000	1.800	Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	1804	1840				
BRAC9442.3i_ZD	2025-02-19 15:29:07		Media file	player #1:Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	926.550	934.350	20.000	No focal subject	903.996	in empty nest	Not defined	STATE	93.550	96.950	3.400	Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	1871	1939				
BRAC9442.3i_ZD	2025-02-19 15:29:07		Media file	player #1:Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	926.550	934.350	20.000	No focal subject	903.996	rearing	stress behaviour	STATE	94.850	95.900	1.050	Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	1897	1918				
