mice_ID,estrous_stage,surgery_date,implantation_area,pup_light_cond,status,state_latency,parental_status,experiment_date,
JKAJ26.3d,NA,,MPOA_control,60_lighton_food,0.171,,,26/10/2023,
JKAJ26.3d,NA,,MPOA_control,60_post_food,0.171,,,26/10/2023,
JKAJ26.3g,P,,MPOA_control,30_lighton,Agg-,,,27/10/2023,
JKAJ26.3g,NA,,MPOA_control,60_lighton_food,0.096,,,26/10/2023,
JKAJ26.3g,NA,,MPOA_control,60_post_food,0.332,,,26/10/2023,
JKAJ26.3f,P,,MPOA_control,30_lighton,Agg-,,,26/10/2023,
JKAJ26.3f,NA,,MPOA_control,60_lighton_food,0.091,,,27/10/2023,
JKAJ26.3f,NA,,MPOA_control,60_post_food,0.263,,,27/10/2023,
JKAJ26.3d,NA,,MPOA_control,baseline_food,0.1,,,30/10/2023,
JKAJ26.3f,NA,,MPOA_control,baseline_food,0.1,,,30/10/2023,
JKAJ26.3g,NA,,MPOA_control,baseline_food,0.1,,,30/10/2023,
JKAJ26.3e,NA,,MPOA_control,baseline_food,0.1,,,30/10/2023,
JKAJ29.1f,NA,,MPOA_control,baseline_food,0.1,,,30/10/2023,
JKAJ29.1e,NA,,MPOA_control,baseline_food,0.2,,,30/10/2023,
JKAJ29.1h,NA,,MPOA_control,baseline_food,0.1,,,30/10/2023,
JKAJ29.1f,NA,,MPOA_control,60_post_food,0.116,,,01/11/2023,
JKAJ29.1f,,,MPOA_control,30_lighton,Agg-,,,,
JKAJ29.1f,NA,,MPOA_control,60_lighton_food,0.102,,,01/11/2023,
JKAJ29.1e,NA,,MPOA_control,60_post_food,0.323,,,03/11/2023,
JKAJ29.1e,P,,MPOA_control,30_lighton,Agg-,,,01/11/2023,
JKAJ29.1e,NA,,MPOA_control,60_lighton_food,0.037,,,03/11/2023,
JKAJ29.1h,NA,,MPOA_control,60_post_food,0.28,,,01/11/2023,
JKAJ29.1h,M,,MPOA_control,30_lighton,Agg-,,,03/11/2023,
JKAJ29.1h,NA,,MPOA_control,60_lighton_food,0.155,,,01/11/2023,
