mice_ID,estrous_stage,state_after,latency,manipulation,validation
BRAC5872.1b,P,Agg-,,food_dep,
BRAC5872.1c,D,Agg+,153,food_dep,
BRAC5872.1d,D,Agg+,24,food_dep,
BRAC5872.1e,M,Agg-,,food_dep,
BRAC5872.1f,P,Agg+,513,food_dep,
BRAC5872.1g,E,Agg+,100,food_dep,
BRAC5112.5g,,Agg-,,food_dep,
BRAC5319.3e,,Agg-,,food_dep,
BRAC5319.3f,,Agg-,,food_dep,
BRAC5873.1d,D,Agg-,,food_dep,
BRAC5873.1e,D,Agg+,47,food_dep,
BRAC6031.1d,M,Agg+,191,food_dep,
BRAC6031.1e,M,Agg+,91,food_dep,
BRAC6031.1f,P,Agg+,506,food_dep,
BRAC6031.1g,E,Agg-,,food_dep,
BRAC5044.7d,,Agg+,192,food_dep,
BRAC5044.7e,,Agg+,77,food_dep,
BRAC5986.1c,D,Agg-,,food_dep,
BRAC5858.2h,E,Agg-,,food_dep,
BRAC5986.1d,M,Agg-,,food_dep,
BRAC5986.1e,M,Agg+,597,food_dep,
BRAC5986.1f,M,Agg-,,food_dep,
BRAC5873.1h,E,Agg+,305,food_dep,
BRAC5873.1g,M,Agg-,,food_dep,
BRAC5873.1f,E,Agg+,781,food_dep,
BRAC5801.3f,M,Agg-,,food_dep,
BRAC5801.3e,M,Agg+,151,food_dep,
BRAC5801.3d,M,Agg+,270,food_dep,
BRAC5801.3c,E,Agg+,131,food_dep,
BRAC5491.5f,D,Agg-,,food_dep,
BRAC5626.4e,M,Agg+,40,food_dep,
BRAC5626.4h,D,Agg+,133,food_dep,
BRAC5679.4b,P,Agg+,84,food_dep,
BRAC5679.4c,M,Agg-,,food_dep,
BRAC5740.4d,E,Agg-,,food_dep,
BRAC5626.4f,M,Agg+,446,food_dep,
BRAC5626.4g,D,Agg+,152,food_dep,
BRAC5370.6e,D,Agg-,,food_dep,
BRAC5539.5g,D,Agg-,,food_dep,
BRAC5539.5h,M,Agg-,,food_dep,
BRAC5539.5i,D,Agg+,,food_dep,
BRAC5858.2g,D,Agg+,58,food_dep,
JKAJ31.7e,,Agg+,17,ZD,
JKAj33.6d,,Agg+,27,ZD,
JKAJ31.7d,,Agg+,254,ZD,
BRAC9442.3i,,Agg+,20,ZD,
