,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Allen ID,Parent Allen ID,Side,Num Detections,Area µm^2,Perimeter µm
44,JKAX6.2e_MPOA_1_Scan8.qptiff - resolution #1_Region 3.ome.tif,Medial preoptic nucleus,MPN,Hypothalamic medial zone,Geometry,1403.1,5207.2,515,467,0,521,554409.0,3944.3
45,JKAX6.2e_MPOA_1_Scan8.qptiff - resolution #1_Region 4.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1929.7,4725.8,523,141,0,267,784894.4,6394.4
46,JKAX6.2e_MPOA_1_Scan8.qptiff - resolution #1_Region 4.ome.tif,Medial preoptic nucleus,MPN,Hypothalamic medial zone,Geometry,1795.9,4722.4,515,467,0,752,672113.2,4343.9
47,JKAX6.2e_MPOA_1_Scan8.qptiff - resolution #1_Region 5.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1508.7,4838.1,523,141,0,162,741221.5,6521.8
48,JKAX6.2e_MPOA_1_Scan8.qptiff - resolution #1_Region 5.ome.tif,Posterodorsal preoptic nucleus,PD,Periventricular region,Geometry,1951.9,4835.4,914,141,0,0,132.35,65.74
49,JKAX6.2e_MPOA_1_Scan8.qptiff - resolution #1_Region 5.ome.tif,Medial preoptic nucleus,MPN,Hypothalamic medial zone,Geometry,1435.3,4764.2,515,467,0,725,855539.3,4841.1
50,JKAX6.2e_MPOA_1_Scan8.qptiff - resolution #1_Region 6.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1901.3,4887.2,523,141,0,210,525495.8,4754.8
51,JKAX6.2e_MPOA_1_Scan8.qptiff - resolution #1_Region 6.ome.tif,Posterodorsal preoptic nucleus,PD,Periventricular region,Geometry,2367.9,4881.2,914,141,0,19,70900.9,1364.8
52,JKAX6.2e_MPOA_1_Scan8.qptiff - resolution #1_Region 6.ome.tif,Medial preoptic nucleus,MPN,Hypothalamic medial zone,Geometry,1961.0,4898.0,515,467,0,592,656331.3,4330.1
53,JKAX6.2e_MPOA_1_Scan8.qptiff - resolution #1_Region 7.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1384.4,4864.2,523,141,0,155,624507.0,5615.1
54,JKAX6.2e_MPOA_1_Scan8.qptiff - resolution #1_Region 7.ome.tif,Posterodorsal preoptic nucleus,PD,Periventricular region,Geometry,1853.6,4881.1,914,141,0,21,79671.3,1454.5
55,JKAX6.2e_MPOA_1_Scan8.qptiff - resolution #1_Region 7.ome.tif,Medial preoptic nucleus,MPN,Hypothalamic medial zone,Geometry,1411.5,4914.8,515,467,0,800,866229.0,4836.3
56,JKAX6.2e_MPOA_1_Scan8.qptiff - resolution #1_Region 8.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1642.1,5065.7,523,141,0,29,502426.3,4461.6
57,JKAX6.2e_MPOA_1_Scan8.qptiff - resolution #1_Region 8.ome.tif,Medial preoptic nucleus,MPN,Hypothalamic medial zone,Geometry,1719.2,5102.0,515,467,0,625,1010404.3,5254.8
58,JKAX6.2e_MPOA_1_Scan8.qptiff - resolution #1_Region 9.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,2084.9,5321.9,523,141,0,71,307995.1,3378.9
59,JKAX6.2e_MPOA_1_Scan8.qptiff - resolution #1_Region 9.ome.tif,Medial preoptic nucleus,MPN,Hypothalamic medial zone,Geometry,2154.9,5306.3,515,467,0,428,518588.0,3719.0
