,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: DAPI mean,Nucleus: DAPI sum,Nucleus: DAPI std dev,Nucleus: DAPI max,Nucleus: DAPI min,Nucleus: DAPI range,Nucleus: Opal 520 mean,Nucleus: Opal 520 sum,Nucleus: Opal 520 std dev,Nucleus: Opal 520 max,Nucleus: Opal 520 min,Nucleus: Opal 520 range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: DAPI mean,Cell: DAPI std dev,Cell: DAPI max,Cell: DAPI min,Cell: Opal 520 mean,Cell: Opal 520 std dev,Cell: Opal 520 max,Cell: Opal 520 min,Cytoplasm: DAPI mean,Cytoplasm: DAPI std dev,Cytoplasm: DAPI max,Cytoplasm: DAPI min,Cytoplasm: Opal 520 mean,Cytoplasm: Opal 520 std dev,Cytoplasm: Opal 520 max,Cytoplasm: Opal 520 min,Nucleus/Cell area ratio
489,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1107.4,4176.8,22.25,19.1529,0.7622,7.5482,3.8494,0.8808,31.5106,2962.0,1.2847,34.0,28.0,6.0,19.4149,1825.0,2.2017,25.0,16.0,9.0,102.25,37.0037,0.9384,13.4796,9.7753,0.6965,31.1961,5.8212,75.0,25.0,14.54,3.1107,25.0,11.0,31.1034,6.5865,75.0,25.0,13.1034,1.4226,17.0,11.0,0.21
490,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1655.9,4179.0,67.0,35.4763,0.669,13.8891,7.0371,0.8686,55.7786,15116.0,8.0316,74.0,42.0,32.0,76.3284,20685.0,19.2221,107.0,37.0,70.0,194.5,53.2186,0.863,19.8255,13.1455,0.7365,45.2237,9.7865,74.0,30.0,45.2429,26.8539,107.0,15.0,39.5819,4.5923,57.0,30.0,28.6272,10.772,65.0,15.0,0.3432
491,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1140.9,4178.2,30.0,20.2689,0.9176,7.5039,5.2386,0.6697,56.1983,6800.0,7.3321,73.0,40.0,33.0,19.9339,2412.0,1.2763,22.0,17.0,5.0,112.25,38.3895,0.9571,13.2217,11.0,0.5072,48.5612,10.3381,73.0,31.0,17.2851,2.2228,22.0,12.0,45.7439,9.8565,72.0,31.0,16.3079,1.6178,21.0,12.0,0.2464
492,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1620.5,4180.8,96.0,40.6489,0.7301,14.6328,9.2178,0.8012,41.9258,16393.0,9.4723,85.0,33.0,52.0,26.9156,10524.0,2.9431,34.0,22.0,12.0,223.25,56.6489,0.8742,19.4908,14.7944,0.6502,45.3938,19.1958,168.0,30.0,23.5261,3.8672,34.0,16.0,48.063,23.8164,168.0,30.0,20.9173,2.0364,26.0,16.0,0.4329
493,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1257.3,4180.1,39.5,23.9194,0.8676,8.2822,6.6101,0.5954,97.5705,15904.0,18.6412,193.0,64.0,129.0,21.3436,3479.0,2.2371,26.0,17.0,9.0,132.0,41.6358,0.9569,14.141,12.0,0.4451,67.5803,37.6002,255.0,26.0,16.9357,3.3995,26.0,12.0,54.224,36.1991,255.0,26.0,14.9727,1.3984,19.0,12.0,0.2997
494,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1633.6,4183.6,72.0,35.0352,0.7371,13.1067,7.8597,0.7541,50.8379,14743.0,8.174,79.0,38.0,41.0,32.8379,9523.0,4.7627,43.0,24.0,19.0,187.0,50.7927,0.9109,18.3147,12.5,0.6339,48.4666,16.2662,150.0,31.0,25.5027,6.8839,43.0,16.0,46.9651,19.6064,150.0,31.0,20.8581,2.7114,29.0,16.0,0.3889
495,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1175.2,4193.2,186.0,55.8056,0.7505,20.3434,13.7084,0.769,38.1631,28546.0,14.6585,156.0,26.0,130.0,53.9385,40346.0,11.1796,77.0,31.0,46.0,353.25,73.1561,0.8295,25.9248,19.3316,0.6837,38.2785,14.5108,156.0,24.0,42.5946,15.2391,77.0,14.0,38.4087,14.3523,109.0,24.0,29.7964,6.645,47.0,14.0,0.5322
496,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1184.1,4185.3,15.75,15.2672,0.8491,5.396,4.0344,0.6783,29.9412,2036.0,2.3995,36.0,26.0,10.0,33.8235,2300.0,2.5448,40.0,28.0,12.0,49.5,27.9394,0.7969,11.2422,6.6402,0.8231,29.2293,2.9308,37.0,24.0,30.9561,5.0878,43.0,21.0,28.8759,3.1094,37.0,24.0,29.5328,5.4301,43.0,21.0,0.3179
497,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1444.3,4190.4,97.5,42.187,0.6884,15.7031,8.8844,0.8401,41.4619,16336.0,3.1998,54.0,34.0,20.0,22.3503,8806.0,2.202,28.0,18.0,10.0,242.0,59.1562,0.869,21.7018,14.3779,0.7297,40.5113,8.0931,76.0,29.0,19.3429,3.0879,28.0,14.0,39.8655,10.1037,76.0,29.0,17.3,1.5482,21.0,14.0,0.4035
498,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1530.7,4189.9,61.5,29.8758,0.8659,9.9408,8.7074,0.4762,44.4073,11013.0,5.7145,55.0,34.0,21.0,33.0968,8208.0,3.5619,41.0,26.0,15.0,172.25,47.5228,0.9584,15.5049,14.5,0.3491,39.4527,6.8149,55.0,30.0,26.7016,5.6486,41.0,18.0,36.6538,5.7074,54.0,30.0,23.0888,2.5649,29.0,18.0,0.3553
