experiment_day,sex,Gal_positive,state,estrous_stage,ID_mouse,Genotype,Behaviour_6hFD,Cm(pF),Adaptive,I_zero,I_zero_reclassified,60mV,Firing_freq_(Hz)_I0,Instant_freq_(Hz)_1/ISI,isi_(ms),cat_categ,CaT,Ih,Ih_at_-120mV,AP_ampl,AP_halfwidth,AP_time_to_peak,area(mV_ms),rheobase_at_-60mV_(pA),AHP_(mV),Vm,Input_Resistance,sPSC_frequency,sPSC_Amplitude(pA),sPSCs_Rise time,sPSCs (decay),AC-I0,AC_-60,Comments,estrous_confirmation
S1C3 23102020,F,yes,virgin,M,JKAM16.1e,Gal-cre KI87; Rosa26 Tomato (Ai9),No_FD,37.1011,yes,silent,silent,silent,0,0,0,no,0,yes,5.8,0,0,0,0,18,0,-46.14165803,712.777,2.818518519,19.039,,,0,0,,
S1C1 24102020,F,yes,virgin,D,JAKM16.1f,Gal-cre KI87; Rosa26 Tomato (Ai9),No_FD,39.0515,yes,tonic,tonic,silent,3.06,3.28,325,no,0,yes,7.72,83.29,3.09,2.53,300,8,-48.33,-40.00990625,409.848,0.786486486,16.355,,,0,0,,
S2C1 24102020,F,yes,virgin,D,JAKM16.1f,Gal-cre KI87; Rosa26 Tomato (Ai9),No_FD,31.1198,yes,tonic,tonic,silent,0.93,1.47,1067,no,0,yes,9.19,103.37,2.52,23.86,996,10,-57.68,-43.40829712,1038.716,0.48,16.292,,,0,0,,
S2C2 24102020,F,yes,virgin,D,JAKM16.1f,Gal-cre KI87; Rosa26 Tomato (Ai9),No_FD,16.6783,yes,tonic,tonic,phasic,4.37,4.41,228,yes,5.19,yes,3.85,83.91,2.33,3.12,264,4,-54.1,-45.42502009,1007.567,0.148,17.476,,,0,0.43,,
S2C3 24102020,F,yes,virgin,D,JAKM16.1f,Gal-cre KI87; Rosa26 Tomato (Ai9),No_FD,32.2062,no,tonic,tonic,phasic,4.4,5.34,227,no,0,no,0,48.49,18.9,20.05,2259,5,-35.42,-28.78159199,671.3069069,0.892682927,25.622,,,0,0.147,,
S1C1 28102020,F,yes,virgin,M,JAKM16.1h,Gal-cre KI87; Rosa26 Tomato (Ai9),No_FD,25.0817,yes,tonic,tonic,silent,0.58,0.92,1706,yes,23.35,yes,13.15,80.55,6.77,11.43,922,8,-46.34,-44.04789586,740.84,0.711048159,12.035,,,0,0.16,,
S1C2 28102020-Not recovered,F,yes,virgin,M,JAKM16.1h,Gal-cre KI87; Rosa26 Tomato (Ai9),No_FD,22.7124,,phasic,phasic,silent,1.3,1.75,764,no,0,no,0,91.9,2.79,2.29,291,20,-49.91,-45.0783924,551.9427515,0.355263158,16.857,,,0.053,0,,
S2C1 28102020,F,yes,virgin,M,JAKM16.1h,Gal-cre KI87; Rosa26 Tomato (Ai9),No_FD,25.5387,yes,silent,silent,silent,0,0,0,yes,9.06,yes,13.34,0,0,0,0,24,0,-50.08809827,765.9906125,1.371352785,12.536,,,0.41,0.36,,
S1C1 23062021,F,yes,virgin,D,JKAM37.2e,Gal-cre KI87; Rosa26 Tomato (Ai9),No_FD,41.88,no,tonic,tonic,silent,0.8,1.12,1237,yes,11.23,yes,16.97,69.04,2.9,3.61,266.84,18,-52.6,-45.56,725.604,,,,,0,0,,
S1C2 23062021,F,yes,virgin,D,JKAM37.2e,Gal-cre KI87; Rosa26 Tomato (Ai9),No_FD,26.46,yes,tonic,tonic,phasic,1.41,2.07,704.83,yes,19.65,yes,12.24,56.98,8.3,6.73,584,20,-39.32,-34.08628332,814.71,,,,,0,0.187,,
