,filename,Injected,Unnamed: 0_x,Event,Event start ,Event end ,Ramp_start,Ramp_end,Unnamed: 0_y,sex_x,Gal_positive_x,state_x,estrous_stage_x,ID_mouse_x,Genotype_x,Behaviour_6hFD,Cm(pF)_x,Adaptive_x,I_zero_x,I_zero_reclassified_x,60mV_x,Firing_freq_(Hz)_I0_x,Instant_freq_(Hz)_x,isi_(ms)_x,cat_categ_x,CaT_x,Ih_x,Ih_at_-120mV_x,AP_ampl_x,AP_halfwidth_x,AP_time_to_peak_x,area(mV_ms)_x,rheobase_at_-60mV_(pA)_x,AHP_(mV)_x,Vm_x,Input_Resistance_x,sPSC_frequency_x,sPSC_Amplitude(pA)_x,sPSCs_Rise time_x,sPSCs (decay)_x,AC-I0_x,AC_-60_x,Comments_x,Unnamed: 35_x,latency,num_spike,Unnamed: 0,sex_y,Gal_positive_y,state_y,estrous_stage_y,ID_mouse_y,Genotype_y,Cm(pF)_y,Adaptive_y,I_zero_y,I_zero_reclassified_y,60mV_y,Firing_freq_(Hz)_I0_y,Instant_freq_(Hz)_y,isi_(ms)_y,cat_categ_y,CaT_y,Ih_y,Ih_at_-120mV_y,AP_ampl_y,AP_halfwidth_y,AP_time_to_peak_y,area(mV_ms)_y,rheobase_at_-60mV_(pA)_y,AHP_(mV)_y,Vm_y,Input_Resistance_y,sPSC_frequency_y,sPSC_Amplitude(pA)_y,sPSCs_Rise time_y,sPSCs (decay)_y,AC-I0_y,AC_-60_y,Comments_y,Unnamed: 35_y
10,S1C1 14022023,125,10,11,1882.5,1883.99621582031,1080.0,2080.0,269,F,no,virgin-Gal-,M,JKAM 55.2e,Gal-cre KI87; Rosa26 Tomato (Ai9),Agg+,72.46212121,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,4.61,0.0,0.0,0.0,0.0,110.0,0.0,-58.47140187,166.1,1.797900262,9.9,1.5,9.86,,,,,802.5,2,269,F,no,virgin-Gal-,M,JKAM 55.2e,Gal-cre KI87; Rosa26 Tomato (Ai9),72.46212121,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,4.61,0.0,0.0,0.0,0.0,110.0,0.0,-58.47140187,166.1,1.797900262,9.9,1.5,9.86,,,,
11,S1C1 14022023,135,12,12,1910.10144042968,1911.49621582031,1080.0,2080.0,269,F,no,virgin-Gal-,M,JKAM 55.2e,Gal-cre KI87; Rosa26 Tomato (Ai9),Agg+,72.46212121,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,4.61,0.0,0.0,0.0,0.0,110.0,0.0,-58.47140187,166.1,1.797900262,9.9,1.5,9.86,,,,,830.10144042968,2,269,F,no,virgin-Gal-,M,JKAM 55.2e,Gal-cre KI87; Rosa26 Tomato (Ai9),72.46212121,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,4.61,0.0,0.0,0.0,0.0,110.0,0.0,-58.47140187,166.1,1.797900262,9.9,1.5,9.86,,,,
12,S1C1 14022023,145,14,13,1811.39855957031,1812.70300292968,1080.0,2080.0,269,F,no,virgin-Gal-,M,JKAM 55.2e,Gal-cre KI87; Rosa26 Tomato (Ai9),Agg+,72.46212121,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,4.61,0.0,0.0,0.0,0.0,110.0,0.0,-58.47140187,166.1,1.797900262,9.9,1.5,9.86,,,,,731.39855957031,3,269,F,no,virgin-Gal-,M,JKAM 55.2e,Gal-cre KI87; Rosa26 Tomato (Ai9),72.46212121,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,4.61,0.0,0.0,0.0,0.0,110.0,0.0,-58.47140187,166.1,1.797900262,9.9,1.5,9.86,,,,
13,S1C1 15022023,25,0,1,1476.19995117187,1479.69995117187,1080.0,2080.0,252,F,Unknown,virgin,E,JKAM WT,WT,Agg+,43.45218801,yes,silent,silent,silent,0.0,0.0,0.0,yes,19.9,yes,11.26,0.0,0.0,0.0,0.0,8.0,0.0,-61.14101032,679.2,1.566666667,12.65,1.8,14.35,,,,,396.19995117187,5,252,F,Unknown,virgin,E,JKAM WT,WT,43.45218801,yes,silent,silent,silent,0.0,0.0,0.0,yes,19.9,yes,11.26,0.0,0.0,0.0,0.0,8.0,0.0,-61.14101032,679.2,1.566666667,12.65,1.8,14.35,,,,
14,S1C1 15022023,35,5,2,1420.40002441406,1424.00012207031,1080.0,2080.0,252,F,Unknown,virgin,E,JKAM WT,WT,Agg+,43.45218801,yes,silent,silent,silent,0.0,0.0,0.0,yes,19.9,yes,11.26,0.0,0.0,0.0,0.0,8.0,0.0,-61.14101032,679.2,1.566666667,12.65,1.8,14.35,,,,,340.40002441406,7,252,F,Unknown,virgin,E,JKAM WT,WT,43.45218801,yes,silent,silent,silent,0.0,0.0,0.0,yes,19.9,yes,11.26,0.0,0.0,0.0,0.0,8.0,0.0,-61.14101032,679.2,1.566666667,12.65,1.8,14.35,,,,
15,S1C1 15022023,45,12,3,1409.2001953125,1412.80078125,1080.0,2080.0,252,F,Unknown,virgin,E,JKAM WT,WT,Agg+,43.45218801,yes,silent,silent,silent,0.0,0.0,0.0,yes,19.9,yes,11.26,0.0,0.0,0.0,0.0,8.0,0.0,-61.14101032,679.2,1.566666667,12.65,1.8,14.35,,,,,329.2001953125,8,252,F,Unknown,virgin,E,JKAM WT,WT,43.45218801,yes,silent,silent,silent,0.0,0.0,0.0,yes,19.9,yes,11.26,0.0,0.0,0.0,0.0,8.0,0.0,-61.14101032,679.2,1.566666667,12.65,1.8,14.35,,,,
16,S1C1 15022023,55,20,4,1344.2001953125,1347.69909667968,1080.0,2080.0,252,F,Unknown,virgin,E,JKAM WT,WT,Agg+,43.45218801,yes,silent,silent,silent,0.0,0.0,0.0,yes,19.9,yes,11.26,0.0,0.0,0.0,0.0,8.0,0.0,-61.14101032,679.2,1.566666667,12.65,1.8,14.35,,,,,264.2001953125,10,252,F,Unknown,virgin,E,JKAM WT,WT,43.45218801,yes,silent,silent,silent,0.0,0.0,0.0,yes,19.9,yes,11.26,0.0,0.0,0.0,0.0,8.0,0.0,-61.14101032,679.2,1.566666667,12.65,1.8,14.35,,,,
17,S1C1 15022023,65,30,5,1303.80102539062,1307.40258789062,1080.0,2080.0,252,F,Unknown,virgin,E,JKAM WT,WT,Agg+,43.45218801,yes,silent,silent,silent,0.0,0.0,0.0,yes,19.9,yes,11.26,0.0,0.0,0.0,0.0,8.0,0.0,-61.14101032,679.2,1.566666667,12.65,1.8,14.35,,,,,223.80102539062,10,252,F,Unknown,virgin,E,JKAM WT,WT,43.45218801,yes,silent,silent,silent,0.0,0.0,0.0,yes,19.9,yes,11.26,0.0,0.0,0.0,0.0,8.0,0.0,-61.14101032,679.2,1.566666667,12.65,1.8,14.35,,,,
18,S1C1 15022023,75,40,6,1271.59948730468,1275.099609375,1080.0,2080.0,252,F,Unknown,virgin,E,JKAM WT,WT,Agg+,43.45218801,yes,silent,silent,silent,0.0,0.0,0.0,yes,19.9,yes,11.26,0.0,0.0,0.0,0.0,8.0,0.0,-61.14101032,679.2,1.566666667,12.65,1.8,14.35,,,,,191.59948730468,8,252,F,Unknown,virgin,E,JKAM WT,WT,43.45218801,yes,silent,silent,silent,0.0,0.0,0.0,yes,19.9,yes,11.26,0.0,0.0,0.0,0.0,8.0,0.0,-61.14101032,679.2,1.566666667,12.65,1.8,14.35,,,,
19,S1C1 15022023,85,48,7,1279.0,1282.599609375,1080.0,2080.0,252,F,Unknown,virgin,E,JKAM WT,WT,Agg+,43.45218801,yes,silent,silent,silent,0.0,0.0,0.0,yes,19.9,yes,11.26,0.0,0.0,0.0,0.0,8.0,0.0,-61.14101032,679.2,1.566666667,12.65,1.8,14.35,,,,,199.0,8,252,F,Unknown,virgin,E,JKAM WT,WT,43.45218801,yes,silent,silent,silent,0.0,0.0,0.0,yes,19.9,yes,11.26,0.0,0.0,0.0,0.0,8.0,0.0,-61.14101032,679.2,1.566666667,12.65,1.8,14.35,,,,
20,S1C1 15022023,95,56,8,1244.5,1247.90258789062,1080.0,2080.0,252,F,Unknown,virgin,E,JKAM WT,WT,Agg+,43.45218801,yes,silent,silent,silent,0.0,0.0,0.0,yes,19.9,yes,11.26,0.0,0.0,0.0,0.0,8.0,0.0,-61.14101032,679.2,1.566666667,12.65,1.8,14.35,,,,,164.5,7,252,F,Unknown,virgin,E,JKAM WT,WT,43.45218801,yes,silent,silent,silent,0.0,0.0,0.0,yes,19.9,yes,11.26,0.0,0.0,0.0,0.0,8.0,0.0,-61.14101032,679.2,1.566666667,12.65,1.8,14.35,,,,
21,S1C1 15022023,105,63,9,1245.39855957031,1248.796875,1080.0,2080.0,252,F,Unknown,virgin,E,JKAM WT,WT,Agg+,43.45218801,yes,silent,silent,silent,0.0,0.0,0.0,yes,19.9,yes,11.26,0.0,0.0,0.0,0.0,8.0,0.0,-61.14101032,679.2,1.566666667,12.65,1.8,14.35,,,,,165.39855957031,6,252,F,Unknown,virgin,E,JKAM WT,WT,43.45218801,yes,silent,silent,silent,0.0,0.0,0.0,yes,19.9,yes,11.26,0.0,0.0,0.0,0.0,8.0,0.0,-61.14101032,679.2,1.566666667,12.65,1.8,14.35,,,,
22,S1C1 15022023,115,69,10,1242.19921875,1245.6015625,1080.0,2080.0,252,F,Unknown,virgin,E,JKAM WT,WT,Agg+,43.45218801,yes,silent,silent,silent,0.0,0.0,0.0,yes,19.9,yes,11.26,0.0,0.0,0.0,0.0,8.0,0.0,-61.14101032,679.2,1.566666667,12.65,1.8,14.35,,,,,162.19921875,6,252,F,Unknown,virgin,E,JKAM WT,WT,43.45218801,yes,silent,silent,silent,0.0,0.0,0.0,yes,19.9,yes,11.26,0.0,0.0,0.0,0.0,8.0,0.0,-61.14101032,679.2,1.566666667,12.65,1.8,14.35,,,,
23,S1C1 15022023,125,75,11,1227.80102539062,1231.20300292968,1080.0,2080.0,252,F,Unknown,virgin,E,JKAM WT,WT,Agg+,43.45218801,yes,silent,silent,silent,0.0,0.0,0.0,yes,19.9,yes,11.26,0.0,0.0,0.0,0.0,8.0,0.0,-61.14101032,679.2,1.566666667,12.65,1.8,14.35,,,,,147.80102539062,5,252,F,Unknown,virgin,E,JKAM WT,WT,43.45218801,yes,silent,silent,silent,0.0,0.0,0.0,yes,19.9,yes,11.26,0.0,0.0,0.0,0.0,8.0,0.0,-61.14101032,679.2,1.566666667,12.65,1.8,14.35,,,,
