,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: DAPI mean,Nucleus: DAPI sum,Nucleus: DAPI std dev,Nucleus: DAPI max,Nucleus: DAPI min,Nucleus: DAPI range,Nucleus: Opal 520 mean,Nucleus: Opal 520 sum,Nucleus: Opal 520 std dev,Nucleus: Opal 520 max,Nucleus: Opal 520 min,Nucleus: Opal 520 range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: DAPI mean,Cell: DAPI std dev,Cell: DAPI max,Cell: DAPI min,Cell: Opal 520 mean,Cell: Opal 520 std dev,Cell: Opal 520 max,Cell: Opal 520 min,Cytoplasm: DAPI mean,Cytoplasm: DAPI std dev,Cytoplasm: DAPI max,Cytoplasm: DAPI min,Cytoplasm: Opal 520 mean,Cytoplasm: Opal 520 std dev,Cytoplasm: Opal 520 max,Cytoplasm: Opal 520 min,Nucleus/Cell area ratio
17480,JKAH30.1d_MPOA_1_Scan8.qptiff - resolution #1_Region 7.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1321.8,3966.1,16.25,16.1125,0.7866,5.9901,4.0019,0.7064,94.5652,6525.0,6.7114,115.0,82.0,33.0,17.6957,1221.0,1.0475,20.0,15.0,5.0,65.25,30.1312,0.9031,10.5396,8.6494,0.4686,94.7887,17.8534,137.0,62.0,16.1245,1.8534,20.0,12.0,94.8673,20.3911,137.0,62.0,15.5714,1.757,20.0,12.0,0.2488
17481,JKAH30.1d_MPOA_1_Scan8.qptiff - resolution #1_Region 7.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1397.0,3964.2,13.25,13.129,0.966,4.6047,3.5648,0.5686,101.2727,5570.0,7.4547,129.0,92.0,37.0,19.0727,1049.0,1.7305,23.0,15.0,8.0,59.75,28.2873,0.9383,10.0177,7.9002,0.5706,97.0,20.7814,184.0,67.0,15.8708,2.5077,25.0,11.0,95.7297,23.1855,184.0,67.0,14.9189,1.8205,25.0,11.0,0.2141
17482,JKAH30.1d_MPOA_1_Scan8.qptiff - resolution #1_Region 7.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1179.5,3970.8,56.75,33.1429,0.6492,13.1293,5.8868,0.9067,115.0779,26583.0,22.0382,199.0,78.0,121.0,17.8571,4125.0,1.8229,24.0,14.0,10.0,158.5,48.0401,0.863,18.6299,11.0772,0.7945,96.9276,23.5305,199.0,49.0,15.3811,2.5061,24.0,10.0,86.5495,17.2355,123.0,49.0,13.9653,1.5685,24.0,10.0,0.3636
17483,JKAH30.1d_MPOA_1_Scan8.qptiff - resolution #1_Region 7.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1394.1,3974.6,63.5,32.559,0.7527,11.7637,8.186,0.7329,113.3817,29706.0,28.917,196.0,71.0,125.0,35.5763,9321.0,6.2306,50.0,21.0,29.0,164.0,48.9832,0.8589,16.5051,14.0,0.4105,99.4385,30.3311,197.0,55.0,25.7891,9.3537,50.0,12.0,90.2368,27.6407,197.0,55.0,19.33,3.8197,29.0,12.0,0.3942
17484,JKAH30.1d_MPOA_1_Scan8.qptiff - resolution #1_Region 7.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1482.3,3971.1,22.25,19.4248,0.741,6.7563,5.0838,0.6003,83.4239,7675.0,5.0931,95.0,72.0,23.0,22.837,2101.0,2.9845,30.0,17.0,13.0,87.0,34.7488,0.9054,12.4978,9.5304,0.656,83.3152,8.92,103.0,62.0,17.7593,3.776,30.0,12.0,83.2763,9.9466,103.0,62.0,15.9416,1.9061,22.0,12.0,0.2519
17485,JKAH30.1d_MPOA_1_Scan8.qptiff - resolution #1_Region 7.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1214.7,3974.2,41.75,26.0216,0.7748,9.6827,6.2121,0.7919,79.9763,13516.0,10.6558,106.0,64.0,42.0,19.6627,3323.0,1.9666,24.0,16.0,8.0,106.75,40.4668,0.8192,14.3842,11.1068,0.4899,72.8126,13.5483,106.0,50.0,16.7939,3.1159,24.0,11.0,68.1202,13.1979,106.0,50.0,14.9147,2.1465,23.0,11.0,0.3975
17486,JKAH30.1d_MPOA_1_Scan8.qptiff - resolution #1_Region 7.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1350.9,3980.7,175.75,55.2312,0.724,19.9167,12.7864,0.7508,95.8383,67566.0,15.7982,140.0,65.0,75.0,20.1305,14192.0,2.5623,29.0,15.0,14.0,344.25,71.1021,0.8557,26.3227,18.4678,0.6928,89.4625,17.418,148.0,52.0,17.9719,3.1051,29.0,11.0,82.862,16.5456,148.0,52.0,15.7372,1.7346,22.0,11.0,0.5123
17487,JKAH30.1d_MPOA_1_Scan8.qptiff - resolution #1_Region 7.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1338.5,3974.7,11.5,12.1394,0.9807,4.375,3.4721,0.5475,102.6667,4928.0,12.511,129.0,81.0,48.0,34.5625,1659.0,9.9764,58.0,19.0,39.0,57.25,27.6589,0.9404,9.641,7.7552,0.5447,96.806,28.972,190.0,61.0,19.7931,8.9283,58.0,13.0,95.2772,31.7487,190.0,61.0,15.9402,1.7088,23.0,13.0,0.1814
17488,JKAH30.1d_MPOA_1_Scan8.qptiff - resolution #1_Region 7.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1487.1,3979.0,32.25,23.7574,0.718,8.6903,6.2662,0.6449,143.2824,18770.0,36.6086,253.0,76.0,177.0,23.5496,3085.0,6.753,44.0,17.0,27.0,107.75,39.7711,0.856,14.0469,10.3366,0.5478,110.8753,38.4961,253.0,61.0,18.1363,5.646,44.0,12.0,96.8179,29.8791,208.0,61.0,15.7881,2.7873,40.0,12.0,0.2975
17489,JKAH30.1d_MPOA_1_Scan8.qptiff - resolution #1_Region 7.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1178.4,3986.3,156.5,54.3306,0.6662,18.1944,13.0308,0.7473,79.8592,49912.0,20.3019,157.0,55.0,102.0,17.4352,10897.0,1.7076,23.0,12.0,11.0,318.75,70.1247,0.8146,23.218,18.9246,0.5814,73.1163,25.8814,214.0,46.0,15.3252,2.5937,23.0,9.0,66.6127,28.8637,214.0,46.0,13.2901,1.4018,19.0,9.0,0.4902
