,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: DAPI mean,Nucleus: DAPI sum,Nucleus: DAPI std dev,Nucleus: DAPI max,Nucleus: DAPI min,Nucleus: DAPI range,Nucleus: Opal 520 mean,Nucleus: Opal 520 sum,Nucleus: Opal 520 std dev,Nucleus: Opal 520 max,Nucleus: Opal 520 min,Nucleus: Opal 520 range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: DAPI mean,Cell: DAPI std dev,Cell: DAPI max,Cell: DAPI min,Cell: Opal 520 mean,Cell: Opal 520 std dev,Cell: Opal 520 max,Cell: Opal 520 min,Cytoplasm: DAPI mean,Cytoplasm: DAPI std dev,Cytoplasm: DAPI max,Cytoplasm: DAPI min,Cytoplasm: Opal 520 mean,Cytoplasm: Opal 520 std dev,Cytoplasm: Opal 520 max,Cytoplasm: Opal 520 min,Nucleus/Cell area ratio
2013,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Anteroventral preoptic nucleus,Polygon,1220.6,3947.9,117.25,44.2304,0.7531,15.4183,11.5244,0.6911,64.2274,30508.0,31.0805,172.0,27.0,145.0,28.2,13395.0,5.3793,40.0,18.0,22.0,265.5,60.79,0.9028,20.7816,17.0,0.5679,50.274,33.2508,228.0,22.0,21.2693,7.5353,40.0,10.0,38.983,30.5763,228.0,22.0,15.661,2.993,23.0,10.0,0.4457
2014,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Anteroventral preoptic nucleus,Polygon,1278.7,3948.8,71.0,34.9515,0.7304,12.6651,8.9078,0.7554,73.2431,21094.0,28.5221,143.0,30.0,113.0,16.5556,4768.0,1.7442,21.0,13.0,8.0,198.75,53.0897,0.8861,18.3996,14.5,0.6289,62.1851,32.6566,159.0,24.0,14.4332,2.0728,21.0,10.0,55.8913,33.2098,159.0,24.0,13.2253,0.9934,16.0,10.0,0.3586
2015,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Anteroventral preoptic nucleus,Polygon,1065.1,3951.6,109.0,46.8449,0.6242,18.1394,9.6754,0.786,29.3356,12937.0,2.4617,35.0,24.0,11.0,16.0884,7095.0,2.1813,22.0,12.0,10.0,261.0,64.6457,0.7848,23.9513,15.5455,0.7583,27.2264,5.213,68.0,20.0,13.4355,2.9047,22.0,8.0,25.6914,6.0806,68.0,20.0,11.505,1.5045,17.0,8.0,0.4201
2016,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Anteroventral preoptic nucleus,Polygon,1239.4,3955.4,36.75,22.6748,0.8982,8.4009,5.5287,0.7435,33.9128,5053.0,4.2822,45.0,27.0,18.0,20.1409,3001.0,2.751,26.0,15.0,11.0,126.25,40.6914,0.9582,14.1783,11.4409,0.5833,31.1976,5.3648,46.0,23.0,14.8399,3.9732,26.0,10.0,30.0644,5.3694,46.0,23.0,12.6275,1.6053,17.0,10.0,0.2865
2017,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Anteroventral preoptic nucleus,Polygon,1040.9,3960.8,224.75,60.6405,0.768,19.8756,15.7102,0.5118,30.7754,27821.0,13.8814,128.0,20.0,108.0,15.9613,14429.0,1.792,28.0,12.0,16.0,429.75,77.9052,0.8898,25.408,21.5444,0.4562,32.0915,17.3996,173.0,18.0,14.0466,2.5905,28.0,8.0,33.5586,20.5359,173.0,18.0,11.9125,1.4032,15.0,8.0,0.5251
2018,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Anteroventral preoptic nucleus,Polygon,1014.5,3963.2,37.0,25.0053,0.7436,9.8544,5.9861,0.7881,153.0588,23418.0,45.4678,251.0,49.0,202.0,14.2484,2180.0,1.4386,17.0,11.0,6.0,135.0,42.8548,0.9237,15.7246,11.7537,0.6677,82.3229,57.2823,251.0,22.0,11.5074,2.0715,17.0,8.0,54.5013,31.8777,239.0,22.0,10.4293,1.0221,14.0,8.0,0.2755
2019,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Anteroventral preoptic nucleus,Polygon,1304.9,3966.3,16.0,15.2368,0.866,5.7168,3.7933,0.6863,39.0588,2656.0,4.1784,47.0,32.0,15.0,32.1324,2185.0,8.4109,51.0,18.0,33.0,85.5,33.3964,0.9633,11.8426,9.5,0.5652,29.2261,5.6126,47.0,23.0,16.742,8.6911,51.0,11.0,26.8123,2.3143,34.0,23.0,12.9639,2.0709,22.0,11.0,0.1863
2020,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Anteroventral preoptic nucleus,Polygon,1088.0,3969.2,53.75,29.8327,0.7589,11.5564,5.8614,0.8643,66.2785,14515.0,13.7924,122.0,33.0,89.0,18.5845,4070.0,3.6943,29.0,13.0,16.0,166.5,47.9097,0.9115,17.6348,11.7875,0.7343,63.744,33.895,255.0,23.0,14.0943,4.0349,29.0,8.0,62.5078,40.1652,255.0,23.0,11.9042,1.7132,17.0,8.0,0.3238
2021,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Anteroventral preoptic nucleus,Polygon,1246.1,3972.3,44.75,29.3595,0.6524,10.0948,7.6997,0.709,53.2406,9956.0,19.9144,134.0,25.0,109.0,15.8503,2964.0,1.8401,21.0,12.0,9.0,155.0,46.5214,0.9,15.8319,13.5191,0.491,50.1739,21.6542,137.0,23.0,13.4895,2.2257,21.0,8.0,48.8525,22.2541,137.0,23.0,12.4724,1.4813,17.0,8.0,0.2871
2022,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Anteroventral preoptic nucleus,Polygon,1215.8,3974.9,69.5,34.8894,0.7175,12.8739,7.6062,0.8368,36.2183,10286.0,5.1817,46.0,22.0,24.0,16.2746,4622.0,1.8652,21.0,12.0,9.0,187.5,51.9139,0.8743,18.8944,12.8056,0.7444,32.3843,7.2124,56.0,22.0,13.7686,2.6414,21.0,9.0,30.0577,7.2814,56.0,22.0,12.2479,1.7248,18.0,9.0,0.38
