,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: DAPI mean,Nucleus: DAPI sum,Nucleus: DAPI std dev,Nucleus: DAPI max,Nucleus: DAPI min,Nucleus: DAPI range,Nucleus: Opal 520 mean,Nucleus: Opal 520 sum,Nucleus: Opal 520 std dev,Nucleus: Opal 520 max,Nucleus: Opal 520 min,Nucleus: Opal 520 range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: DAPI mean,Cell: DAPI std dev,Cell: DAPI max,Cell: DAPI min,Cell: Opal 520 mean,Cell: Opal 520 std dev,Cell: Opal 520 max,Cell: Opal 520 min,Cytoplasm: DAPI mean,Cytoplasm: DAPI std dev,Cytoplasm: DAPI max,Cytoplasm: DAPI min,Cytoplasm: Opal 520 mean,Cytoplasm: Opal 520 std dev,Cytoplasm: Opal 520 max,Cytoplasm: Opal 520 min,Nucleus/Cell area ratio
11256,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic nucleus,Polygon,1368.4,5635.4,103.0,42.0198,0.7331,14.2874,10.8423,0.5722,182.789,76223.0,25.3329,246.0,132.0,114.0,49.6978,20724.0,8.4336,67.0,31.0,36.0,224.0,57.9721,0.8376,19.9838,15.3886,0.6791,165.1282,31.6321,255.0,104.0,40.2219,10.9603,67.0,23.0,149.7854,28.4058,255.0,104.0,31.9896,4.1053,43.0,23.0,0.4671
11257,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic nucleus,Polygon,1805.4,5636.0,65.5,31.9808,0.8048,12.4084,7.6926,0.7947,83.0599,22177.0,11.2345,105.0,59.0,46.0,31.2772,8351.0,2.8912,38.0,26.0,12.0,181.0,49.679,0.9216,18.3303,13.4351,0.6837,76.1989,15.7042,123.0,54.0,26.9351,4.0368,38.0,19.0,72.1904,16.5449,123.0,54.0,24.3982,1.8635,29.0,19.0,0.3689
11258,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic nucleus,Polygon,1666.4,5637.1,69.25,31.3088,0.8878,10.6509,8.7593,0.5765,125.0215,34881.0,16.2348,170.0,92.0,78.0,65.2939,18217.0,11.4039,90.0,44.0,46.0,178.0,48.4654,0.9523,16.538,14.0,0.4429,112.772,26.8204,201.0,70.0,45.379,18.0883,90.0,22.0,104.9335,29.2307,201.0,70.0,32.6353,6.0646,51.0,22.0,0.3882
11259,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic nucleus,Polygon,1739.3,5634.5,37.5,25.7239,0.7121,10.473,4.8708,0.8802,96.9542,14834.0,5.6105,108.0,78.0,30.0,29.4575,4507.0,2.2797,34.0,25.0,9.0,117.0,41.417,0.8571,15.8748,9.4333,0.8132,90.9829,11.6099,137.0,64.0,26.7356,2.9064,34.0,21.0,88.0918,12.624,137.0,64.0,25.4177,2.1682,33.0,21.0,0.3229
11260,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic nucleus,Polygon,1552.7,5638.4,66.0,31.7647,0.822,10.4255,8.3862,0.6069,149.7137,39225.0,28.4813,206.0,92.0,114.0,30.6718,8036.0,1.9786,37.0,27.0,10.0,182.75,49.4144,0.9405,16.829,14.0,0.452,121.8365,32.8407,206.0,63.0,27.5206,3.0348,37.0,21.0,106.1631,23.3842,182.0,63.0,25.7489,1.8605,32.0,21.0,0.3614
11261,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic nucleus,Polygon,1329.5,5637.9,52.0,28.4953,0.8048,9.8727,7.3999,0.6235,240.8679,51064.0,19.6848,255.0,174.0,81.0,25.4906,5404.0,1.3224,29.0,22.0,7.0,159.5,45.5611,0.9656,16.0021,13.3929,0.5152,217.854,41.7323,255.0,103.0,23.9074,1.899,29.0,18.0,206.3741,44.9736,255.0,103.0,23.1176,1.6312,28.0,18.0,0.3299
11262,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic nucleus,Polygon,1704.6,5634.8,15.5,15.7403,0.7862,6.1684,3.5691,0.8025,96.2923,6259.0,4.5405,109.0,89.0,20.0,30.2308,1965.0,1.4766,34.0,27.0,7.0,65.75,30.7041,0.8764,11.5356,7.2523,0.7455,89.8679,7.0663,109.0,70.0,28.966,1.4573,34.0,26.0,87.78,6.4615,102.0,70.0,28.555,1.1934,33.0,26.0,0.234
11263,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic nucleus,Polygon,1749.7,5642.6,109.25,42.5872,0.757,15.7509,9.4263,0.8056,87.0227,38377.0,22.4205,197.0,62.0,135.0,39.3968,17374.0,5.0442,51.0,29.0,22.0,227.5,56.1837,0.9057,20.4998,14.8891,0.7087,79.9912,19.5343,197.0,58.0,33.3925,7.1626,51.0,21.0,73.4076,13.3872,116.0,58.0,27.7707,3.1815,38.0,21.0,0.4837
11264,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic nucleus,Polygon,1499.3,5642.7,77.5,33.6393,0.8606,12.2634,8.4518,0.7486,160.9968,50714.0,26.1051,252.0,106.0,146.0,143.746,45280.0,36.5585,235.0,71.0,164.0,198.5,51.1829,0.9522,17.767,13.9589,0.6237,127.961,37.8711,252.0,58.0,80.8491,57.6381,235.0,22.0,106.2812,27.2392,176.0,58.0,39.5729,17.9411,111.0,22.0,0.3923
11265,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic nucleus,Polygon,1709.0,5646.6,142.0,46.9736,0.8087,15.5881,13.0132,0.5079,78.3461,45049.0,12.6115,154.0,61.0,93.0,37.0243,21289.0,3.6367,47.0,30.0,17.0,285.0,62.2128,0.9253,20.7303,18.3173,0.3755,75.336,12.5913,158.0,53.0,32.2765,5.7309,47.0,22.0,72.2887,11.8243,158.0,53.0,27.4701,2.5995,34.0,22.0,0.5
