,BrainRegion,Class,Num_cells,id,channel
101,Anteroventral nucleus of thalamus,positive,1910,BRAC5872.1f,cfos
102,Anteroventral periventricular nucleus,negative,13,BRAC5872.1f,cfos
103,Anteroventral periventricular nucleus,positive,561,BRAC5872.1f,cfos
104,Anteroventral preoptic nucleus,negative,0,BRAC5872.1f,cfos
105,Anteroventral preoptic nucleus,positive,175,BRAC5872.1f,cfos
106,Arcuate hypothalamic nucleus,negative,374,BRAC5872.1f,cfos
107,Arcuate hypothalamic nucleus,positive,1361,BRAC5872.1f,cfos
108,"Basolateral amygdalar nucleus, anterior part",negative,28,BRAC5872.1f,cfos
109,"Basolateral amygdalar nucleus, anterior part",positive,2881,BRAC5872.1f,cfos
110,"Basolateral amygdalar nucleus, posterior part",negative,65,BRAC5872.1f,cfos
111,"Basolateral amygdalar nucleus, posterior part",positive,2131,BRAC5872.1f,cfos
112,"Basolateral amygdalar nucleus, ventral part",negative,30,BRAC5872.1f,cfos
113,"Basolateral amygdalar nucleus, ventral part",positive,1405,BRAC5872.1f,cfos
114,"Basomedial amygdalar nucleus, anterior part",negative,129,BRAC5872.1f,cfos
115,"Basomedial amygdalar nucleus, anterior part",positive,3579,BRAC5872.1f,cfos
116,"Basomedial amygdalar nucleus, posterior part",negative,47,BRAC5872.1f,cfos
117,"Basomedial amygdalar nucleus, posterior part",positive,2711,BRAC5872.1f,cfos
118,Bed nuclei of the stria terminalis,negative,70,BRAC5872.1f,cfos
119,Bed nuclei of the stria terminalis,positive,5285,BRAC5872.1f,cfos
120,Bed nucleus of the accessory olfactory tract,negative,23,BRAC5872.1f,cfos
121,Bed nucleus of the accessory olfactory tract,positive,83,BRAC5872.1f,cfos
122,Bed nucleus of the anterior commissure,negative,0,BRAC5872.1f,cfos
123,Bed nucleus of the anterior commissure,positive,50,BRAC5872.1f,cfos
124,Caudoputamen,negative,722,BRAC5872.1f,cfos
125,Caudoputamen,positive,65858,BRAC5872.1f,cfos
126,"Central amygdalar nucleus, capsular part",negative,4,BRAC5872.1f,cfos
127,"Central amygdalar nucleus, capsular part",positive,952,BRAC5872.1f,cfos
128,"Central amygdalar nucleus, lateral part",negative,20,BRAC5872.1f,cfos
129,"Central amygdalar nucleus, lateral part",positive,965,BRAC5872.1f,cfos
130,"Central amygdalar nucleus, medial part",negative,33,BRAC5872.1f,cfos
131,"Central amygdalar nucleus, medial part",positive,3173,BRAC5872.1f,cfos
132,Central lateral nucleus of the thalamus,negative,2,BRAC5872.1f,cfos
133,Central lateral nucleus of the thalamus,positive,1685,BRAC5872.1f,cfos
134,Central medial nucleus of the thalamus,negative,1,BRAC5872.1f,cfos
135,Central medial nucleus of the thalamus,positive,1375,BRAC5872.1f,cfos
136,Claustrum,negative,33,BRAC5872.1f,cfos
137,Claustrum,positive,1606,BRAC5872.1f,cfos
138,"Cortical amygdalar area, anterior part",negative,225,BRAC5872.1f,cfos
139,"Cortical amygdalar area, anterior part",positive,3418,BRAC5872.1f,cfos
140,"Cortical amygdalar area, posterior part, lateral zone",negative,96,BRAC5872.1f,cfos
141,"Cortical amygdalar area, posterior part, lateral zone",positive,2888,BRAC5872.1f,cfos
142,"Cortical amygdalar area, posterior part, medial zone",negative,58,BRAC5872.1f,cfos
143,"Cortical amygdalar area, posterior part, medial zone",positive,3506,BRAC5872.1f,cfos
144,Cortical subplate,negative,27,BRAC5872.1f,cfos
145,Cortical subplate,positive,1139,BRAC5872.1f,cfos
146,"Dentate gyrus, granule cell layer",negative,42,BRAC5872.1f,cfos
147,"Dentate gyrus, granule cell layer",positive,2733,BRAC5872.1f,cfos
148,"Dentate gyrus, molecular layer",negative,162,BRAC5872.1f,cfos
149,"Dentate gyrus, molecular layer",positive,3365,BRAC5872.1f,cfos
150,"Dentate gyrus, polymorph layer",negative,23,BRAC5872.1f,cfos
151,"Dentate gyrus, polymorph layer",positive,880,BRAC5872.1f,cfos
152,Diagonal band nucleus,negative,16,BRAC5872.1f,cfos
153,Diagonal band nucleus,positive,2215,BRAC5872.1f,cfos
154,"Dorsal auditory area, layer 1",negative,12,BRAC5872.1f,cfos
155,"Dorsal auditory area, layer 1",positive,280,BRAC5872.1f,cfos
156,"Dorsal auditory area, layer 2/3",negative,7,BRAC5872.1f,cfos
157,"Dorsal auditory area, layer 2/3",positive,985,BRAC5872.1f,cfos
158,"Dorsal auditory area, layer 4",negative,4,BRAC5872.1f,cfos
159,"Dorsal auditory area, layer 4",positive,505,BRAC5872.1f,cfos
160,"Dorsal auditory area, layer 5",negative,7,BRAC5872.1f,cfos
161,"Dorsal auditory area, layer 5",positive,1106,BRAC5872.1f,cfos
162,"Dorsal auditory area, layer 6a",negative,3,BRAC5872.1f,cfos
163,"Dorsal auditory area, layer 6a",positive,467,BRAC5872.1f,cfos
164,"Dorsal auditory area, layer 6b",negative,2,BRAC5872.1f,cfos
165,"Dorsal auditory area, layer 6b",positive,75,BRAC5872.1f,cfos
166,"Dorsal part of the lateral geniculate complex, core",negative,5,BRAC5872.1f,cfos
167,"Dorsal part of the lateral geniculate complex, core",positive,747,BRAC5872.1f,cfos
168,"Dorsal part of the lateral geniculate complex, ipsilateral zone",negative,0,BRAC5872.1f,cfos
169,"Dorsal part of the lateral geniculate complex, ipsilateral zone",positive,153,BRAC5872.1f,cfos
170,"Dorsal part of the lateral geniculate complex, shell",negative,11,BRAC5872.1f,cfos
171,"Dorsal part of the lateral geniculate complex, shell",positive,289,BRAC5872.1f,cfos
172,Dorsal premammillary nucleus,negative,10,BRAC5872.1f,cfos
173,Dorsal premammillary nucleus,positive,352,BRAC5872.1f,cfos
